time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
5770,2501632,2443,433,0.04998784,-1.272434301674366,-0.005912517954129726,-0.015012933872640133,0.01251145952846855,0.0001249696,0.9638498425483704,0.182373046875,0.0013643575,9768,11.95,8807.42,,,,
5771,2502656,2444,433,0.04996736000000001,-1.2627779766917229,-0.00435281969839707,-0.014106537215411663,0.02472213516011834,0.0001249184,0.9291796088218689,0.181640625,0.0015756795,9772,11.95,8807.42,,,,
5772,2503680,2445,433,0.049946880000000006,-1.2537276297807693,-0.005000185337848961,-0.010685328394174576,0.027319891669321805,0.0001248672,0.9175962805747986,0.156982421875,0.0018157952,9776,12.1,8761.99,,,,
5773,2504704,2446,433,0.04992640000000001,-1.2589520439505577,-0.006312692770734429,-0.02125077322125435,0.013207075593527406,0.000124816,0.9632836580276489,0.17724609375,0.0013798818,9780,12.1,8761.99,,,,
5774,2505728,2447,433,0.049905920000000006,-1.2709134370088577,-0.0040146076935343444,-0.007395932450890541,0.023946860223077238,0.0001247648,0.9298881888389587,0.186767578125,0.001002386,9784,12.1,8761.99,,,,
5775,2506752,2448,434,0.04988544,-1.2824028134346008,-0.0049743938143365085,-0.015396460890769958,0.013849574781488627,0.0001247136,0.9449230432510376,0.1806640625,0.0014288946,9788,12.09,8764.73,,,,
5776,2507776,2449,434,0.04986496000000001,-1.2268766686320305,-0.005011175700929016,-0.020275786519050598,0.009896257193759084,0.00012466240000000002,0.9766169786453247,0.1962890625,0.0016827588,9792,12.09,8764.73,,,,
5777,2508800,2450,434,0.049844480000000004,-1.2310709431767464,-0.006257626286242157,-0.020886167883872986,0.010595168627332896,0.00012461120000000002,0.9748961925506592,0.2275390625,0.0020236506,9796,12.09,8764.73,,,,
5778,2509824,2451,434,0.04982400000000001,-1.3097384944558144,-0.004753835033625364,-0.014325686730444431,0.013696853537112474,0.00012456000000000001,0.9622087478637695,0.188720703125,0.0017343538,9800,12.09,8764.73,,,,
5779,2510848,2452,434,0.049803520000000004,-1.2538477554917336,-0.00509403325850144,-0.012877702713012695,0.026047047518659383,0.0001245088,0.9314846396446228,0.189208984375,0.0017646032,9804,11.97,8804.77,,,,
5780,2511872,2453,434,0.04978304,-1.2902555838227272,-0.00526976864784956,-0.013732367195189,0.029673106619156897,0.0001244576,0.9131966829299927,0.24072265625,0.002189491,9808,11.99,8799.83,,,,
5781,2512896,2454,434,0.049762560000000004,-1.2619513273239136,-0.005074100336059928,-0.012653861194849014,0.022542174090631306,0.0001244064,0.9254512786865234,0.155517578125,0.0012596496,9812,11.99,8799.83,,,,
5782,2513920,2455,434,0.04974208,-1.2688231021165848,-0.004881452303379774,-0.008703557774424553,0.02636245428584516,0.0001243552,0.9231747984886169,0.179443359375,0.0011416925,9816,11.99,8799.83,,,,
5783,2514944,2456,434,0.049721600000000005,-1.2764877304434776,-0.003578401345293969,-0.008797816000878811,0.03360131336376071,0.000124304,0.8951207399368286,0.1943359375,0.0013889447,9820,11.99,8799.83,,,,
5784,2515968,2457,434,0.04970112,-1.2345318272709846,-0.004843565577175468,-0.007285591214895248,0.030674073146656156,0.0001242528,0.8898861408233643,0.1669921875,0.0011771137,9824,11.96,8807.79,,,,
5785,2516992,2458,435,0.04968064,-1.2832817435264587,-0.005543771258089691,-0.016096580773591995,0.02365984010975808,0.0001242016,0.9113940000534058,0.14794921875,0.0015488318,9828,11.97,8802.21,,,,
5786,2518016,2459,435,0.04966016,-1.2314824387431145,-0.0053257381077855825,-0.01280428096652031,0.017346015491057187,0.0001241504,0.9359482526779175,0.227294921875,0.0017972712,9832,11.97,8802.21,,,,
5787,2519040,2460,435,0.04963968,-1.243423119187355,-0.00513633358059451,-0.011082714423537254,0.0174837825470604,0.0001240992,0.9402278661727905,0.177734375,0.0013182906,9836,11.97,8802.21,,,,
5788,2520064,2461,435,0.0496192,-1.2506666034460068,-0.005633496213704348,-0.01566131040453911,0.019529490964487195,0.000124048,0.9462202787399292,0.194091796875,0.0014008123,9840,11.97,8802.21,,,,
5789,2521088,2462,435,0.04959872,-1.2574337273836136,-0.006560065259691328,-0.013279765844345093,0.026645080070011318,0.0001239968,0.9177111983299255,0.1826171875,0.0015216311,9844,11.72,8893.67,,,,
5790,2522112,2463,435,0.049578239999999996,-1.2275353819131851,-0.0045693955034948885,-0.011054757982492447,0.029825642588548362,0.0001239456,0.9059339761734009,0.155029296875,0.0014931073,9848,11.72,8893.67,,,,
5791,2523136,2464,435,0.04955776,-1.2588432803750038,-0.0048771368456073105,-0.02107943408191204,0.01360854844097048,0.0001238944,0.9613732695579529,0.169189453125,0.0013479122,9852,11.72,8893.67,,,,
5792,2524160,2465,435,0.049537279999999996,-1.2521126121282578,-0.005577773408731446,-0.017938580363988876,0.01492023200262338,0.0001238432,0.9563420414924622,0.220458984375,0.0013419725,9856,11.72,8893.67,,,,
,2525000,,,0.04951680000000001,-1.2364650890231133,-0.004954683157848194,-0.01999698206782341,0.01209631166420877,0.000123792,0.960308313369751,0.179443359375,0.0011869344,9860,,,9517.8,-3844.1066665999992,11.8,9517.8
5833,2525184,2466,432,,,,,,,,,,,11.9,8843.2,,,,
5834,2526208,2467,432,0.04949632000000001,-1.2753538861870766,-0.005148092401213944,-0.019187498837709427,0.012892218073830009,0.0001237408,0.9653952121734619,0.18896484375,0.0017215012,9864,11.9,8843.2,,,,
5835,2527232,2468,433,0.04947584000000001,-1.2130716741085052,-0.004830780846532434,-0.015659566968679428,0.016923390910960734,0.0001236896,0.9585404396057129,0.146728515625,0.0011530938,9868,11.9,8843.2,,,,
5836,2528256,2469,433,0.049455360000000004,-1.2510122880339622,-0.004695285984780639,-0.012359591200947762,0.02221490890951827,0.0001236384,0.9575490951538086,0.216064453125,0.0014465186,9872,11.9,8843.2,,,,
5837,2529280,2470,433,0.04943488000000001,-1.2192940041422844,-0.0061859886336606,-0.017585165798664093,0.00968816305976361,0.00012358720000000002,0.9779465198516846,0.18408203125,0.0015348572,9876,11.72,8889.72,,,,
5838,2530304,2471,433,0.049414400000000004,-1.2857645153999329,-0.0054179715807549655,-0.013591814786195755,0.011546088266186416,0.00012353600000000002,0.9789078831672668,0.215087890625,0.0017107642,9880,11.72,8889.72,,,,
5839,2531328,2472,433,0.04939392000000001,-1.2654400616884232,-0.005974460567813367,-0.02106090635061264,0.0075459783838596195,0.00012348480000000001,0.983310341835022,0.161376953125,0.0013048525,9884,11.72,8889.72,,,,
5840,2532352,2473,433,0.049373440000000005,-1.256999023258686,-0.004852710204431787,-0.020386643707752228,0.010612053069053218,0.0001234336,0.9771483540534973,0.18408203125,0.0016561893,9888,11.72,8889.72,,,,
5842,2533376,2474,433,0.04935296,-1.2381787449121475,-0.003778199345106259,-0.013038231991231441,0.024501159670762718,0.0001233824,0.9536796808242798,0.177490234375,0.0012676029,9892,11.5,8975.43,,,,
5843,2534400,2475,433,0.049332480000000005,-1.2579056024551392,-0.005543442501220852,-0.02168523706495762,0.009373967943247408,0.0001233312,0.9814852476119995,0.16943359375,0.0011832175,9896,11.68,8924.24,,,,
5844,2535424,2476,433,0.049312,-1.242725819349289,-0.0062242920830613,-0.019206516444683075,0.009087844082387164,0.00012328,0.9783002138137817,0.197021484375,0.0014442053,9900,11.68,8924.24,,,,
5845,2536448,2477,433,0.049291520000000005,-1.275380976498127,-0.004470095824217424,-0.0147258210927248,0.010279062669724226,0.0001232288,0.9776244759559631,0.15966796875,0.001311901,9904,11.68,8924.24,,,,
5846,2537472,2478,434,0.04927104,-1.2763214856386185,-0.005167704977793619,-0.017790772020816803,0.013867066183593124,0.0001231776,0.9646744132041931,0.19384765625,0.0014440111,9908,11.71,8915.9,,,,
5847,2538496,2479,434,0.04925056,-1.2433350011706352,-0.005875954462680966,-0.013091683387756348,0.020215563126839697,0.0001231264,0.9572833776473999,0.225341796875,0.0016745644,9912,11.71,8906.4,,,,
5848,2539520,2480,434,0.04923008,-1.2641081660985947,-0.006649843940977007,-0.017407795414328575,0.015887649497017264,0.0001230752,0.9661211371421814,0.210205078125,0.0016699153,9916,11.71,8906.4,,,,
5849,2540544,2481,434,0.0492096,-1.2967070490121841,-0.004666869179345667,-0.008349977433681488,0.025714072748087347,0.000123024,0.9402604103088379,0.16943359375,0.0012049193,9920,11.68,8915.46,,,,
5850,2541568,2482,434,0.04918912,-1.2851740419864655,-0.005869156797416508,-0.020964931696653366,0.009538685000734404,0.0001229728,0.9770985245704651,0.18701171875,0.001282983,9924,11.68,8915.46,,,,
5851,2542592,2483,434,0.04916864,-1.2657895907759666,-0.004321183310821652,-0.01695975661277771,0.011881798127433285,0.0001229216,0.9632086753845215,0.140625,0.0013184586,9928,11.68,8915.46,,,,
5852,2543616,2484,434,0.049148159999999996,-1.2507280930876732,-0.004641152394469827,-0.018373537808656693,0.010702142550144345,0.0001228704,0.970440685749054,0.133544921875,0.0010940069,9932,11.68,8915.46,,,,
5853,2544640,2485,434,0.04912768,-1.2799519449472427,-0.004728655447252095,-0.017080988734960556,0.012972711003385484,0.0001228192,0.9706229567527771,0.19384765625,0.0012638416,9936,11.68,8915.46,,,,
5854,2545664,2486,434,0.0491072,-1.311148926615715,-0.005311108136083931,-0.01964188739657402,0.010353573597967625,0.000122768,0.9736306667327881,0.167724609375,0.0013557232,9940,11.81,8868.11,,,,
5855,2546688,2487,434,0.04908672,-1.2888154238462448,-0.006081175641156733,-0.010761406272649765,0.027147680637426674,0.00012271679999999998,0.9111737012863159,0.127685546875,0.001104261,9944,11.82,8862.19,,,,
5856,2547712,2488,435,0.04906624000000001,-1.2734350264072418,-0.005113469262141734,-0.014623293653130531,0.020885318284854293,0.0001226656,0.9343692660331726,0.144775390625,0.0012827817,9948,11.82,8862.19,,,,
