#{"t_start": 1752534235.9519906, "env_id": "SafeCartPole-v0"}
r,l,t,c
147.0,147,130.049787,7.0
115.0,115,130.576451,27.0
144.0,144,130.703843,15.0
144.0,144,130.831478,20.0
154.0,154,130.96799,9.0
117.0,117,131.072042,13.0
124.0,124,131.182441,11.0
119.0,119,131.288302,21.0
110.0,110,131.386181,20.0
147.0,147,131.517096,12.0
110.0,110,131.614818,16.0
98.0,98,131.701826,21.0
138.0,138,131.82332,7.0
200.0,200,131.998046,0.0
110.0,110,132.094739,11.0
122.0,122,132.201186,21.0
122.0,122,132.308232,7.0
114.0,114,132.829444,10.0
200.0,200,133.004603,0.0
160.0,160,133.147392,20.0
200.0,200,133.323512,19.0
101.0,101,133.412435,17.0
200.0,200,133.58734,26.0
131.0,131,133.702044,32.0
116.0,116,133.803104,20.0
136.0,136,133.921896,9.0
176.0,176,134.075403,16.0
126.0,126,134.185034,27.0
120.0,120,134.289864,9.0
146.0,146,134.417734,21.0
146.0,146,134.545886,21.0
167.0,167,135.117005,31.0
200.0,200,135.295462,12.0
200.0,200,135.473785,0.0
123.0,123,135.584144,25.0
137.0,137,135.705776,25.0
163.0,163,135.848787,18.0
186.0,186,136.010938,34.0
172.0,172,136.16109,29.0
200.0,200,136.336425,30.0
200.0,200,136.510996,28.0
190.0,190,136.676521,26.0
144.0,144,136.801691,23.0
153.0,153,137.362267,39.0
155.0,155,137.499039,34.0
200.0,200,137.673661,7.0
176.0,176,137.827075,35.0
196.0,196,137.997716,33.0
146.0,146,138.124984,36.0
132.0,132,138.240063,28.0
161.0,161,138.38056,33.0
183.0,183,138.539992,32.0
144.0,144,138.665294,36.0
131.0,131,138.779449,33.0
182.0,182,138.938164,35.0
161.0,161,139.509043,33.0
180.0,180,139.666943,35.0
149.0,149,139.796762,27.0
200.0,200,139.971337,26.0
148.0,148,140.100727,37.0
200.0,200,140.27632,29.0
193.0,193,140.446163,22.0
200.0,200,140.621137,0.0
146.0,146,140.74886,30.0
146.0,146,140.876356,37.0
163.0,163,141.020497,42.0
200.0,200,141.199839,0.0
151.0,151,141.761352,35.0
200.0,200,141.93643,44.0
186.0,186,142.099308,34.0
199.0,199,142.273261,40.0
176.0,176,142.426746,40.0
143.0,143,142.55145,35.0
140.0,140,142.67363,33.0
143.0,143,142.798728,28.0
137.0,137,142.918538,36.0
166.0,166,143.063502,38.0
200.0,200,143.23896,36.0
171.0,171,143.391512,38.0
200.0,200,143.994871,0.0
144.0,144,144.121335,27.0
177.0,177,144.275584,30.0
135.0,135,144.393651,37.0
200.0,200,144.568268,0.0
200.0,200,144.742722,39.0
170.0,170,144.89138,31.0
151.0,151,145.022912,43.0
200.0,200,145.198153,36.0
160.0,160,145.339814,44.0
157.0,157,145.478951,32.0
200.0,200,145.654666,24.0
160.0,160,146.23345,37.0
161.0,161,146.376926,44.0
167.0,167,146.52477,42.0
169.0,169,146.673322,42.0
200.0,200,146.849228,45.0
200.0,200,147.025342,0.0
200.0,200,147.20046,0.0
141.0,141,147.324715,40.0
200.0,200,147.502707,0.0
200.0,200,147.679297,0.0
200.0,200,147.856141,0.0
