#{"t_start": 1752536461.294913, "env_id": "SafeCartPole-v0"}
r,l,t,c
200.0,200,86.71428,45.0
200.0,200,86.886639,70.0
200.0,200,87.059527,84.0
200.0,200,87.23211,32.0
200.0,200,87.40414,65.0
165.0,165,87.546244,69.0
200.0,200,87.717964,49.0
200.0,200,87.891302,153.0
200.0,200,88.489212,59.0
139.0,139,88.607609,58.0
200.0,200,88.77776,161.0
200.0,200,88.948038,103.0
194.0,194,89.113192,65.0
200.0,200,89.283634,122.0
200.0,200,89.462995,126.0
85.0,85,89.536704,73.0
169.0,169,89.682126,120.0
200.0,200,89.854579,41.0
200.0,200,90.02968,123.0
200.0,200,90.612326,42.0
200.0,200,90.784933,163.0
200.0,200,90.957605,46.0
200.0,200,91.13032,97.0
46.0,46,91.170323,39.0
200.0,200,91.342767,99.0
200.0,200,91.515325,123.0
200.0,200,91.68777,69.0
200.0,200,91.860353,122.0
200.0,200,92.034251,107.0
200.0,200,92.207683,174.0
133.0,133,92.322841,122.0
200.0,200,92.894689,47.0
200.0,200,93.067615,36.0
200.0,200,93.240113,102.0
200.0,200,93.412558,41.0
200.0,200,93.58512,43.0
200.0,200,93.758072,95.0
200.0,200,93.930536,172.0
200.0,200,94.105201,78.0
200.0,200,94.279684,21.0
200.0,200,94.453379,21.0
145.0,145,95.00688,99.0
169.0,169,95.152517,95.0
200.0,200,95.32572,142.0
200.0,200,95.498538,90.0
200.0,200,95.671181,62.0
198.0,198,95.842632,146.0
200.0,200,96.014956,138.0
200.0,200,96.190152,50.0
200.0,200,96.364816,183.0
