#{"t_start": 1752536160.0332599, "env_id": "SafeCartPole-v0"}
r,l,t,c
35.0,35,13.796292,35.0
61.0,74,13.860832,61.0
27.0,27,13.884223,27.0
33.0,33,13.912865,33.0
58.0,58,13.963245,58.0
29.0,29,13.988399,29.0
56.0,56,14.036959,56.0
32.0,32,14.064877,32.0
22.0,22,14.083952,22.0
19.0,30,14.109915,19.0
50.0,50,14.153483,50.0
29.0,29,14.59818,29.0
25.0,25,14.619962,25.0
37.0,37,14.652123,37.0
85.0,88,14.728323,85.0
9.0,14,14.740662,9.0
19.0,19,14.757229,19.0
31.0,31,14.784137,31.0
37.0,37,14.816267,37.0
22.0,29,14.841448,22.0
23.0,30,14.86756,23.0
28.0,28,14.891847,28.0
71.0,71,14.953464,71.0
19.0,19,14.970008,19.0
61.0,61,15.023141,61.0
85.0,85,15.097991,85.0
20.0,21,15.116593,20.0
51.0,51,15.161398,51.0
18.0,18,15.177195,18.0
21.0,21,15.195565,21.0
37.0,37,15.227807,37.0
24.0,24,15.24877,24.0
28.0,28,15.273068,28.0
18.0,18,15.288778,18.0
25.0,25,15.310501,25.0
41.0,57,15.360132,41.0
60.0,60,15.412336,60.0
45.0,45,15.451788,45.0
31.0,31,15.478818,31.0
45.0,45,15.51783,45.0
24.0,24,15.538746,24.0
21.0,21,15.556998,21.0
12.0,12,15.567436,12.0
56.0,56,15.615896,56.0
30.0,30,15.642007,30.0
27.0,33,15.670791,27.0
39.0,39,15.704703,39.0
24.0,24,15.725496,24.0
45.0,45,15.764612,45.0
31.0,31,15.791445,31.0
31.0,69,15.851122,31.0
21.0,21,15.86932,21.0
13.0,13,15.880623,13.0
22.0,22,15.899704,22.0
32.0,32,15.927485,32.0
39.0,39,15.961532,39.0
16.0,16,15.975486,16.0
100.0,100,16.062085,100.0
24.0,24,16.082859,24.0
26.0,26,16.105427,26.0
72.0,72,16.167965,72.0
47.0,47,16.208826,47.0
40.0,43,16.246598,40.0
13.0,16,16.260519,13.0
20.0,20,16.277889,20.0
61.0,61,16.330717,61.0
17.0,17,16.345561,17.0
71.0,77,16.835774,71.0
