time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2655232,604,4392,2593,2.5136252560287176e-05,0.0001172896,5.6048913e-05,10368,0.0,-0.016204478219151497,0.3331572413444519,0.04691584,-1.582866057753563,1.942081144079566e-05,3346.1,-1.1863334799999998,,,,
2656256,604,4393,2594,5.781404036042659e-05,0.00011723839999999999,7.70425e-06,10372,0.0,-0.015841975808143616,0.9958372712135315,0.04689536,-1.5747872740030289,-5.27760130353272e-06,3346.1,-1.1863334799999998,,,,
2657280,604,4394,2595,1.7992678934319883e-05,0.00011718719999999999,0.000110655325,10376,0.005126953125,-0.01790120266377926,-0.015136957168579102,0.04687488,-1.584410473704338,-0.00047380474279634655,3343.6,-1.18200015,,,,
2658304,604,4395,2596,3.60127097565055e-05,0.000117136,0.000104869076,10380,0.0,-0.01577642373740673,0.9987823963165283,0.0468544,-1.571125403046608,-3.782141720876098e-05,3344.31,-1.18200015,,,,
2659328,604,4397,2597,8.46437794166377e-06,0.0001170848,4.7753914e-05,10384,0.0,-0.016926629468798637,0.9994661211967468,0.04683392,-1.5921473801136017,-0.00023624615278095007,3344.35,-1.18133348,,,,
2660352,604,4398,2598,6.931224511674827e-06,0.00011703359999999999,3.7037185e-05,10388,0.0,-0.01628226414322853,0.9995904564857483,0.04681344,-1.592922791838646,-0.0001489854184910655,3344.35,-1.18133348,,,,
2661376,604,4399,2599,1.1643846605124963e-05,0.00011698239999999999,0.00010735792,10392,0.000244140625,-0.016272546723484993,0.6265242099761963,0.046792959999999995,-1.593757413327694,-0.00041935621993616223,3342.7,-1.18133348,,,,
2662400,605,4400,2600,2.0865065835096175e-06,0.00011693120000000001,3.4382858e-05,10396,0.0,-0.016227666288614273,0.9996910691261292,0.046772480000000005,-1.5844602286815643,-4.9550842959433794e-05,3346.06,-1.18133348,,,,
2663424,605,4401,2601,3.6237945693073925e-06,0.00011688000000000002,0.00010936853,10400,0.0,-0.018267925828695297,0.9993540644645691,0.04675200000000001,-1.5804740563035011,-0.0004207526508253068,3345.66,-1.18066681,,,,
2664448,605,4402,2602,1.3320987022780173e-05,0.00011682880000000002,8.695299e-05,10404,0.0,-0.01729036681354046,0.9985151290893555,0.046731520000000006,-1.5771312564611435,-0.000265208218479529,3343.5,-1.15966682,,,,
2665472,605,4404,2603,1.067557602141278e-05,0.00011677760000000001,5.9813494e-05,10408,0.0,-0.01680983416736126,0.999356746673584,0.04671104000000001,-1.5719137862324715,-0.00023162225261330605,3346.53,-1.15966682,,,,
2666496,605,4405,2604,9.930206744002135e-06,0.00011672640000000001,5.2809773e-05,10412,0.0,-0.01626456528902054,0.9990189075469971,0.046690560000000006,-1.5775801315903664,-0.0001746916677802801,3346.53,-1.15966682,,,,
2667520,605,4406,2605,1.1806178363826803e-06,0.0001166752,5.0107774e-05,10416,0.0,-0.01702709123492241,-0.3015340566635132,0.04667008,-1.5867451429367065,-0.00016746798064559698,3342.56,-1.15966682,,,,
