time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length
69,20130,1397760,1365,0.0019164861,0.07206528,0.8104352951049805,0.141357421875,5456,-1.352998062968254,0.04453666938934475,-0.0051573980890680104,0.0001801632,-0.003741074353456497,4.22,11750.08,,,,
69,20140,1398784,1366,0.0021582488,0.0720448,0.8377051949501038,0.14013671875,5460,-1.340430997312069,0.03277430031448603,-0.006603318557608873,0.00018011199999999999,-0.016300952062010765,4.22,11750.08,,,,
69,20151,1399808,1367,0.0029547762,0.07202432,0.8754655122756958,0.147705078125,5464,-1.362075574696064,0.03967997385188937,-0.006894153542816639,0.0001800608,-0.010956685990095139,4.22,11750.08,,,,
,,1400000,,0.0016254203,0.07200384,0.8877009749412537,0.149169921875,5468,-1.3412723243236542,0.028896048082970083,-0.006132458249339834,0.0001800096,-0.011836722493171692,,,17556.8,-122.19999979999997,10.8,17556.8
68,20367,1400832,1368,,,,,,,,,,,4.22,11750.08,,,,
68,20377,1401856,1369,0.0024726733,0.07198336000000001,0.853757381439209,0.1826171875,5472,-1.2911572009325027,0.04805707233026624,-0.006063000910216942,0.00017995840000000003,-0.006027340888977051,4.22,11750.08,,,,
68,20388,1402880,1370,0.0018523774,0.07196287999999999,0.9035484790802002,0.133056640625,5476,-1.3558785915374756,0.030345833860337734,-0.006502637057565153,0.0001799072,-0.015354040078818798,4.22,11750.08,,,,
68,20399,1403904,1371,0.0035547705,0.0719424,0.7529237270355225,0.148193359375,5480,-1.3689103424549103,0.06500196713022888,-0.005897010123590007,0.00017985600000000002,0.00723855197429657,4.22,11750.08,,,,
68,20409,1404928,1372,0.0023022918,0.07192192,0.915772557258606,0.220947265625,5484,-1.336687095463276,0.0256096312077716,-0.004837497981498018,0.0001798048,-0.013088753446936607,4.22,11750.08,,,,
68,20419,1405952,1373,0.0023410884,0.07190144000000001,0.8251463174819946,0.12548828125,5488,-1.3361991122364998,0.04177365778014064,-0.005147200135979801,0.0001797536,-0.0067570023238658905,4.22,11750.08,,,,
68,20430,1406976,1374,0.0022829475,0.07188096,0.8993180990219116,0.131103515625,5492,-1.3395152613520622,0.030962318181991577,-0.006593285928829573,0.00017970239999999998,-0.013971049338579178,4.3,11720.38,,,,
68,20440,1408000,1375,0.0017950236,0.07186048,0.8364519476890564,0.11474609375,5496,-1.3129769340157509,0.04754768358543515,-0.005063630946096964,0.0001796512,-0.004712747409939766,4.3,11720.38,,,,
68,20450,1409024,1376,0.0026443787,0.07184,0.8847590088844299,0.116455078125,5500,-1.3404260203242302,0.03677426732610911,-0.007639750110683963,0.00017959999999999997,-0.014849544502794743,4.3,11720.38,,,,
68,20461,1410048,1377,0.0021738058,0.07181952000000001,0.8460729122161865,0.1513671875,5504,-1.3416278138756752,0.04760111426003277,-0.0071988425916060805,0.00017954880000000002,-0.011563610285520554,4.57,11660.51,,,,
68,20471,1411072,1378,0.002544988,0.07179904,0.8927271962165833,0.20263671875,5508,-1.354159876704216,0.027331685880199075,-0.006831714301370084,0.0001794976,-0.015585357323288918,4.57,11660.51,,,,
68,20481,1412096,1379,0.0019871208,0.07177856,0.6654412746429443,0.108642578125,5512,-1.365482173860073,0.06177359214052558,-0.004523627205344383,0.00017944640000000002,-0.0025199521332979202,4.57,11660.51,,,,
68,20492,1413120,1380,0.0034490712,0.07175808,0.8159962296485901,0.18359375,5516,-1.3430509492754936,0.04261342354584485,-0.008339191059349105,0.0001793952,-0.007450900971889496,4.64,11707.78,,,,
68,20503,1414144,1381,0.0019709407,0.0717376,0.8431695699691772,0.1171875,5520,-1.3209215849637985,0.02998086274601519,-0.005903073993977159,0.000179344,-0.011213099583983421,4.64,11707.78,,,,
68,20513,1415168,1382,0.0018433041,0.07171712000000001,0.9116264581680298,0.101806640625,5524,-1.3313694223761559,0.021700536599382758,-0.005263935658149421,0.0001792928,-0.01797099970281124,4.64,11707.78,,,,
69,20524,1416192,1383,0.0024328565,0.07169664,0.8318391442298889,0.13232421875,5528,-1.32394739985466,0.048610923695378006,-0.008486957987770438,0.0001792416,-0.012026377022266388,4.64,11707.78,,,,
69,20534,1417216,1384,0.0018247308,0.07167616,0.8470832109451294,0.16064453125,5532,-1.3497532904148102,0.037118348642252386,-0.005446217459393665,0.0001791904,-0.009776860475540161,4.57,11810.32,,,,
69,20545,1418240,1385,0.0023096916,0.07165568,0.8400272727012634,0.121826171875,5536,-1.3311803862452507,0.0382496538804844,-0.007244250533403829,0.0001791392,-0.014595270156860352,4.35,11835.09,,,,
69,20555,1419264,1386,0.002298992,0.0716352,0.8741406798362732,0.12353515625,5540,-1.300230212509632,0.03250203654170036,-0.005687271943315864,0.000179088,-0.011717024259269238,4.35,11835.09,,,,
69,20565,1420288,1387,0.0018281614,0.07161472,0.9213942289352417,0.1376953125,5544,-1.3534448817372322,0.021459080860950053,-0.0062766003829892725,0.00017903679999999999,-0.01507022324949503,4.35,11835.09,,,,
69,20576,1421312,1388,0.0026128928,0.07159424,0.8997526168823242,0.1376953125,5548,-1.3180287331342697,0.028038199176080525,-0.006846352509455755,0.0001789856,-0.015911880880594254,4.35,11835.09,,,,
69,20586,1422336,1389,0.0021364857,0.07157376,0.9106023907661438,0.193359375,5552,-1.3181708008050919,0.020626655546948314,-0.006755879701813683,0.0001789344,-0.02289970964193344,4.31,11850.1,,,,
69,20597,1423360,1390,0.0018294512,0.07155328000000001,0.9103666543960571,0.126708984375,5556,-1.358814425766468,0.0275966867338866,-0.0065020361507777125,0.00017888320000000003,-0.017437463626265526,4.31,11850.1,,,,
69,20607,1424384,1391,0.0027686027,0.0715328,0.8099409341812134,0.16064453125,5560,-1.3574931547045708,0.04189470503479242,-0.006073326047044247,0.000178832,-0.008518073707818985,4.31,11850.1,,,,
,,1425000,,0.0020364493,0.07151232,0.84836745262146,0.130126953125,5564,-1.3421583622694016,0.03469651413615793,-0.005802178668091074,0.00017878080000000002,-0.010874871164560318,,,11846.6,-287.9733334,17.2,11846.6
68,20757,1425408,1392,,,,,,,,,,,4.35,11873.8,,,,
68,20768,1426432,1393,0.0025941888,0.07149184,0.8690100312232971,0.16064453125,5568,-1.3533267453312874,0.031220911536365747,-0.004507976118475199,0.0001787296,-0.010123807936906815,4.35,11873.8,,,,
68,20778,1427456,1394,0.0021140373,0.07147136000000001,0.6321605443954468,0.149658203125,5572,-1.3555540293455124,0.06646181433461607,-0.004497650661505759,0.00017867840000000001,0.002242429181933403,4.35,11873.8,,,,
68,20788,1428480,1395,0.0027629363,0.07145088,0.8160726428031921,0.16015625,5576,-1.351387806236744,0.03370130353141576,-0.006481498887296766,0.00017862719999999998,-0.007574900984764099,4.35,11873.8,,,,
68,20799,1429504,1396,0.0021424815,0.0714304,0.8505746126174927,0.129638671875,5580,-1.374939650297165,0.027096621342934668,-0.007778193161357194,0.000178576,-0.01803658902645111,4.35,11873.8,,,,
68,20809,1430528,1397,0.0017678913,0.07140992,0.8384034037590027,0.15478515625,5584,-1.3268597647547722,0.04679917683824897,-0.0036208893870934844,0.00017852479999999998,-0.006019119173288345,4.59,11815.73,,,,
68,20820,1431552,1398,0.0014658347,0.07138944000000001,0.7676339745521545,0.099365234375,5588,-1.3696895465254784,0.04271822818554938,-0.0054823089158162475,0.00017847360000000003,-0.008149895817041397,4.59,11815.73,,,,
68,20830,1432576,1399,0.0014960004,0.07136896,0.8500125408172607,0.166748046875,5592,-1.3160461708903313,0.026466373819857836,-0.003315931127872318,0.0001784224,-0.01272553764283657,4.59,11815.73,,,,
68,20841,1433600,1400,0.0022949048,0.07134848,0.8745009303092957,0.173583984375,5596,-1.342170611023903,0.03325752855744213,-0.005726785078877583,0.00017837120000000002,-0.012784789316356182,4.59,11815.73,,,,
68,20852,1434624,1401,0.003047368,0.071328,0.8420279622077942,0.147705078125,5600,-1.3260285034775734,0.03420056088361889,-0.00664191457326524,0.00017832000000000001,-0.010868426412343979,4.9,11797.02,,,,
68,20863,1435648,1402,0.002162415,0.07130752,0.8921967148780823,0.121826171875,5604,-1.3203855976462364,0.023880106396973133,-0.0075057905341964215,0.0001782688,-0.01615842431783676,4.97,11764.24,,,,
68,20873,1436672,1403,0.0023456062,0.07128704000000001,0.8229067325592041,0.133544921875,5608,-1.3229404464364052,0.04602256836369634,-0.005350361243472435,0.0001782176,-0.001686684787273407,4.97,11764.24,,,,
68,20885,1437696,1404,0.0033959132,0.07126656,0.7162412405014038,0.147705078125,5612,-1.3775123730301857,0.04751071985810995,-0.007369917613686994,0.0001781664,-0.014026416465640068,4.97,11764.24,,,,
68,20895,1438720,1405,0.0034800547,0.07124608,0.858356237411499,0.224609375,5616,-1.3094595819711685,0.023831328726373613,-0.007877207215642557,0.0001781152,-0.018040798604488373,4.97,11764.24,,,,
68,20906,1439744,1406,0.0021259708,0.0712256,0.8435547351837158,0.21240234375,5620,-1.3672731444239616,0.040122236125171185,-0.005931149440584704,0.000178064,-0.00969112478196621,4.97,11764.24,,,,
68,20916,1440768,1407,0.0019199294,0.07120512,0.8743770718574524,0.19189453125,5624,-1.336783155798912,0.018621955066919327,-0.005802858679089695,0.0001780128,-0.01752941682934761,4.97,11764.24,,,,
68,20927,1441792,1408,0.0018757896,0.07118464000000001,0.8452781438827515,0.13623046875,5628,-1.328564628958702,0.04176070785615593,-0.00669853127328679,0.00017796160000000001,-0.01198786310851574,4.97,11764.24,,,,
68,20937,1442816,1409,0.0026545092,0.07116416,0.9343106150627136,0.144287109375,5632,-1.2990919202566147,0.01749112067045644,-0.006255542684812099,0.0001779104,-0.023707089945673943,4.8,11813.42,,,,
68,20948,1443840,1410,0.002851738,0.07114368,0.8518155217170715,0.16357421875,5636,-1.3510216623544693,0.04082118871156126,-0.007565212203189731,0.0001778592,-0.0075900256633758545,4.8,11813.42,,,,
68,20959,1444864,1411,0.0028743055,0.0711232,0.8832802772521973,0.164794921875,5640,-1.3060694858431816,0.026747551513835788,-0.005129616358317435,0.000177808,-0.012312676757574081,4.8,11813.42,,,,
68,20969,1445888,1412,0.0014487653,0.07110272,0.8839429616928101,0.152099609375,5644,-1.3328903838992119,0.02738287637475878,-0.0037280662800185382,0.0001777568,-0.012567449361085892,4.8,11813.42,,,,
68,20980,1446912,1413,0.0028335636,0.07108224,0.8465098738670349,0.143310546875,5648,-1.316369280219078,0.029693665564991534,-0.00515710303443484,0.00017770560000000002,-0.014321300201117992,5.28,11737.1,,,,
68,20991,1447936,1414,0.0029446245,0.07106176,0.7912944555282593,0.172119140625,5652,-1.3064352050423622,0.03026452532503754,-0.005669168254826218,0.0001776544,-0.009478201158344746,5.28,11737.1,,,,
68,21001,1448960,1415,0.0029802467,0.07104128000000001,0.7924022078514099,0.187255859375,5656,-1.3133265525102615,0.04723021085374057,-0.008076455211266875,0.00017760320000000001,-0.007357915863394737,5.28,11737.1,,,,
69,21012,1449984,1416,0.001695497,0.0710208,0.8976114988327026,0.11669921875,5660,-1.346471481025219,0.02609987638425082,-0.005097629735246301,0.00017755199999999998,-0.01766897737979889,5.28,11737.1,,,,
,,1450000,,0.0016867616,0.07100032,0.8445574641227722,0.0927734375,5664,-1.3484271243214607,0.049148761201649904,-0.004604944828315638,0.0001775008,0.00037091784179210663,,,16257.2,-282.65333339999995,10.6,16257.2
68,21220,1451008,1417,,,,,,,,,,,5.28,11737.1,,,,
68,21231,1452032,1418,0.0018693542,0.07097984,0.8818846940994263,0.110595703125,5668,-1.3257844746112823,0.029511938337236643,-0.007846460386645049,0.00017744959999999998,-0.017986465245485306,5.3,11730.71,,,,
68,21241,1453056,1419,0.00229684,0.07095936000000001,0.8776315450668335,0.164306640625,5672,-1.3282298296689987,0.03265634772833437,-0.004982642480172217,0.00017739840000000003,-0.015598393976688385,5.3,11730.71,,,,
