time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length
7411,605,619520,83,0.017613034695386887,0.0023576608,0.6802046298980713,-0.003896028589224443,0.08763008,0.10888671875,0.0876045492477715,2416,-0.9045470580458641,0.0002190752,-12.21,6738.75,,,,
7421,606,620544,83,0.0009922981262207031,0.0018029762,0.7636824250221252,-0.003594441863242537,0.08760960000000001,0.087158203125,0.04670233395881951,2420,-0.9377072416245937,0.000219024,-12.12,6765.13,,,,
7432,607,621568,83,0.022193625569343567,0.0019893458,0.634280264377594,-0.00434953739750199,0.08758912,0.108642578125,0.07983345747925341,2424,-0.906306479126215,0.0002189728,-12.0,6814.22,,,,
7442,608,622592,83,0.014976736158132553,0.003285413,0.7912427186965942,-0.0020274830458220094,0.08756864,0.121826171875,0.05108802439644933,2428,-0.90613853931427,0.0002189216,-12.0,6814.22,,,,
7451,609,623616,83,0.011881641112267971,0.0027125657,0.7545356750488281,-0.0015831026248633862,0.08754816,0.153076171875,0.062530851457268,2432,-0.9059688523411751,0.0002188704,-12.0,6814.22,,,,
7461,610,624640,83,0.013649942353367805,0.0014809938,0.7358177900314331,-0.0019267549796495587,0.08752768,0.08447265625,0.06912147370167077,2436,-0.9101801477372646,0.0002188192,-12.0,6814.22,,,,
,,625000,,0.016103148460388184,0.0019004261,0.7598898410797119,-0.0028269856702536345,0.08750720000000001,0.087646484375,0.06421581679023802,2440,-0.8860531747341156,0.000218768,,,-2985.2599999999998,-7.4,8870.6,8870.6
7561,611,625664,82,,,,,,,,,,,-12.0,6814.22,,,,
7571,612,626688,82,0.021415092051029205,0.0025154562,0.6790598630905151,-0.0035419709311099723,0.08748672,0.08447265625,0.07680261950008571,2444,-0.9190985932946205,0.00021871679999999999,-11.97,6828.45,,,,
7581,613,627712,82,0.008604981005191803,0.00276906,0.7375104427337646,-0.0047249132476281375,0.08746624000000001,0.158935546875,0.052825664868578315,2448,-0.9532758481800556,0.0002186656,-11.97,6828.45,,,,
