time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
,2200000,,,0.056008959999999997,0.001369009,0.9460704326629639,0.014094469021074474,-0.006369556067511439,8592,0.1162109375,-1.4454637914896011,0.00014002239999999998,-0.01667088270187378,,,7948.2,7948.2,20.0,-110.0533336
350,2200576,2149,6283,,,,,,,,,,,16.89,8915.73,,,,
350,2201600,2150,6284,0.05598848000000001,0.0015508675,0.8903182744979858,0.02282293827738613,-0.005959809786872938,8596,0.13720703125,-1.4344456940889359,0.00013997120000000003,-0.017420008778572083,16.89,8919.25,,,,
350,2202624,2151,6285,0.055968,0.0016827958,0.9389967918395996,0.01668128010351211,-0.007932717155199498,8600,0.142822265625,-1.4403299912810326,0.00013992,-0.023149743676185608,16.92,8926.51,,,,
350,2203648,2152,6286,0.05594752000000001,0.0016716191,0.9560184478759766,0.014788160100579262,-0.007094000466167927,8604,0.147705078125,-1.460626870393753,0.00013986880000000003,-0.023627597838640213,16.92,8926.51,,,,
350,2204672,2153,6287,0.05592704,0.0018587986,0.9740926623344421,0.010054699960164726,-0.007711456215474755,8608,0.138916015625,-1.4393080547451973,0.0001398176,-0.025515662506222725,16.91,8907.0,,,,
350,2205696,2154,6288,0.05590656000000001,0.0015270598,0.8764053583145142,0.0300559860188514,-0.006914524303283542,8612,0.16845703125,-1.440499521791935,0.00013976640000000002,-0.008293366059660912,16.91,8907.0,,,,
350,2206720,2155,6289,0.05588608,0.0014537601,0.9532700181007385,0.01780967740342021,-0.00649036729009822,8616,0.150390625,-1.4302268773317337,0.0001397152,-0.02163385972380638,16.76,8984.35,,,,
350,2207744,2156,6290,0.05586560000000001,0.0017091784,0.9275312423706055,0.0164428714197129,-0.007536732184235007,8620,0.154296875,-1.4549642726778984,0.000139664,-0.02646137773990631,16.83,8931.77,,,,
351,2208768,2157,6291,0.05584512,0.0011798318,0.8423600196838379,0.02882113482337445,-0.004842224938329309,8624,0.150634765625,-1.4319241121411324,0.00013961279999999998,-0.012685633264482021,16.83,8931.77,,,,
351,2209792,2158,6292,0.05582464000000001,0.001148306,0.9197075366973877,0.009572606126312166,-0.006219834904186428,8628,0.104248046875,-1.4592284634709358,0.0001395616,-0.023068517446517944,16.84,8923.95,,,,
351,2210816,2159,6293,0.055804160000000005,0.001267332,0.9567288756370544,0.009310412395279855,-0.006911059463163838,8632,0.169677734375,-1.4561852365732193,0.0001395104,-0.025581883266568184,16.84,8923.95,,,,
351,2211840,2160,6294,0.05578368,0.0012693803,0.9196934700012207,0.017650012858211994,-0.0064523539040237665,8636,0.1455078125,-1.428094394505024,0.00013945920000000002,-0.021225571632385254,16.84,8915.67,,,,
351,2212864,2161,6295,0.055763200000000006,0.001468185,0.8749969601631165,0.015291261952370405,-0.006745614286046475,8640,0.129638671875,-1.4463099390268326,0.00013940800000000002,-0.023015253245830536,16.84,8915.67,,,,
351,2213888,2162,6296,0.05574272,0.0012692267,0.8309775590896606,0.026605683495290577,-0.005507363472133875,8644,0.1328125,-1.4406835362315178,0.00013935680000000001,-0.015720492228865623,16.84,8896.9,,,,
351,2214912,2163,6297,0.055722240000000006,0.001245247,0.9116488099098206,0.010151105234399438,-0.006381761777447537,8648,0.13818359375,-1.4341571182012558,0.0001393056,-0.02283603325486183,16.84,8896.9,,,,
351,2215936,2164,6298,0.05570176,0.0014450743,0.9222578406333923,0.016558918810915202,-0.0072164012235589325,8652,0.13671875,-1.4523985683918,0.0001392544,-0.02191879227757454,16.84,8896.9,,,,
351,2216960,2165,6299,0.05568128,0.0015080969,0.879435658454895,0.019683407386764884,-0.005778583115898073,8656,0.15185546875,-1.4540111273527145,0.0001392032,-0.018135108053684235,16.84,8896.9,,,,
352,2217984,2166,6300,0.0556608,0.0016010228,0.8461405038833618,0.02257525164168328,-0.006222676485776901,8660,0.122802734375,-1.4329354614019394,0.000139152,-0.018723435699939728,16.93,8875.7,,,,
352,2219008,2167,6301,0.05564032,0.0017466259,0.9140740633010864,0.01216235983883962,-0.006163760554045439,8664,0.151123046875,-1.4746632650494576,0.0001391008,-0.022512825205922127,16.93,8852.85,,,,
352,2220032,2168,6302,0.055619840000000004,0.0011323353,0.9155932664871216,0.015412799373734742,-0.00630738161271438,8668,0.1689453125,-1.4485419392585754,0.0001390496,-0.0229673832654953,16.93,8852.85,,,,
352,2221056,2169,6303,0.05559936,0.0013783026,0.876853883266449,0.021897456841543317,-0.006439878226956353,8672,0.130859375,-1.4413491785526276,0.0001389984,-0.01818542741239071,16.91,8859.13,,,,
352,2222080,2170,6304,0.05557888,0.0015237092,0.8844574689865112,0.018643712799530476,-0.006148950138594955,8676,0.133056640625,-1.4343415796756744,0.00013894719999999998,-0.0197254978120327,16.9,8879.7,,,,
352,2223104,2171,6305,0.05555840000000001,0.0016694171,0.9186180830001831,0.01549259846797213,-0.006908925133757293,8680,0.1533203125,-1.4684712067246437,0.00013889600000000003,-0.020647089928388596,16.9,8879.7,,,,
352,2224128,2172,6306,0.05553792,0.0014461118,0.8829222321510315,0.025743327219970524,-0.007300940254935995,8684,0.1357421875,-1.4594289809465408,0.0001388448,-0.018478430807590485,16.9,8879.7,,,,
,2225000,,,0.05551744000000001,0.0017353906,0.8844680190086365,0.021703186561353505,-0.006904091394972056,8688,0.183837890625,-1.4334248751401901,0.00013879360000000003,-0.02052542194724083,,,9850.6,9850.6,18.0,-157.61333359999998
350,2225152,2173,6349,,,,,,,,,,,16.9,8879.7,,,,
350,2226176,2174,6350,0.05549696,0.001419601,0.8627172708511353,0.02412310359068215,-0.006177402508910745,8692,0.124267578125,-1.4494209736585617,0.0001387424,-0.01680844835937023,16.96,8856.01,,,,
350,2227200,2175,6351,0.05547648000000001,0.0013918639,0.8676882386207581,0.026477549341507256,-0.006516927795019001,8696,0.12890625,-1.4678210020065308,0.00013869120000000002,-0.017918867990374565,16.96,8856.01,,,,
350,2228224,2176,6352,0.055456,0.0018163148,0.8624619245529175,0.028649057261645794,-0.006723063823301345,8700,0.089111328125,-1.4458372294902802,0.00013864,-0.01904480904340744,16.96,8856.01,,,,
350,2229248,2177,6353,0.05543552000000001,0.0012091636,0.8824676871299744,0.01902764878468588,-0.006982117600273341,8704,0.14013671875,-1.4626872539520264,0.0001385888,-0.018743282184004784,16.96,8856.01,,,,
350,2230272,2178,6354,0.05541504,0.0012955689,0.7790622115135193,0.04621453722938895,-0.004993277369067073,8708,0.14599609375,-1.4540453553199768,0.00013853759999999998,-0.0024742241948843002,16.96,8856.01,,,,
