time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward
79,17519,1399808,1367,0.01892990875057876,0.8303254246711731,0.0001800608,0.0019194477,5464,-0.015011963434517384,-0.005737392697483301,-1.2185016348958015,0.138671875,0.07202432,8624.04,9.83,,,,
,,1400000,,0.017131588654592633,0.8538607358932495,0.0001800096,0.0020635794,5468,-0.013079295866191387,-0.0048305475793313235,-1.2154091000556946,0.13037109375,0.07200384,,,6802.8,-4866.6400002,6802.8,19.6
79,17598,1400832,1368,,,,,,,,,,,8624.04,9.83,,,,
79,17608,1401856,1369,0.044581939931958914,0.6743910312652588,0.00017995840000000003,0.0028553936,5472,-0.0046067070215940475,-0.00636514560028445,-1.2635915726423264,0.103271484375,0.07198336000000001,8557.97,10.36,,,,
79,17618,1402880,1370,0.037724660127423704,0.8353713154792786,0.0001799072,0.0029825768,5476,-0.012093321420252323,-0.007597053190693259,-1.2445051968097687,0.19677734375,0.07196287999999999,8515.61,10.6,,,,
79,17628,1403904,1371,0.034474078798666596,0.8640755414962769,0.00017985600000000002,0.0028134645,5480,-0.004361189901828766,-0.004830104298889637,-1.2336112558841705,0.1484375,0.0719424,8515.61,10.6,,,,
79,17638,1404928,1372,0.0319595115724951,0.7091803550720215,0.0001798048,0.0026191997,5484,-0.005132559686899185,-0.003174868499627337,-1.2255593910813332,0.095703125,0.07192192,8515.61,10.6,,,,
79,17648,1405952,1373,0.05049849220085889,0.7273231744766235,0.0001797536,0.0038754242,5488,0.003055565059185028,-0.002582962129963562,-1.2275029718875885,0.1337890625,0.07190144000000001,8516.81,10.62,,,,
79,17658,1406976,1374,0.05519802728667855,0.7107752561569214,0.00017970239999999998,0.0024585768,5492,0.0013654697686433792,-0.005440928682219237,-1.224772721529007,0.107666015625,0.07188096,8516.81,10.62,,,,
79,17668,1408000,1375,0.013180416310206056,0.9097992777824402,0.0001796512,0.00236375,5496,-0.01952521689236164,-0.005484773573698476,-1.2271770685911179,0.150634765625,0.07186048,8516.81,10.62,,,,
79,17678,1409024,1376,0.020959986723028123,0.8339934349060059,0.00017959999999999997,0.0027991268,5500,-0.01512997131794691,-0.004142266931012273,-1.2228496968746185,0.1318359375,0.07184,8472.24,10.86,,,,
79,17688,1410048,1377,0.02470505388919264,0.8423855304718018,0.00017954880000000002,0.0033938496,5504,-0.013861928135156631,-0.007204578607343137,-1.2511318251490593,0.171142578125,0.07181952000000001,8472.24,10.86,,,,
79,17698,1411072,1378,0.025361631531268358,0.8501924872398376,0.0001794976,0.0029572558,5508,-0.017615752294659615,-0.005997810832923278,-1.2441697046160698,0.11865234375,0.07179904,8472.24,10.86,,,,
