time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
1403904,20048,70,1371,0.0022283078,0.00017985600000000002,-0.024407213553786278,5480,0.116455078125,-0.0069455197372008115,0.0719424,0.9049457311630249,-1.5187204107642174,0.01831470272736624,9.55,11373.85,,,,
1404928,20058,70,1372,0.0020738896,0.0001798048,-0.017849383875727654,5484,0.137451171875,-0.006917529623024166,0.07192192,0.8905909657478333,-1.489006757736206,0.016270767082460225,9.86,11308.36,,,,
1405952,20068,70,1373,0.002005943,0.0001797536,-0.022527333348989487,5488,0.12353515625,-0.006913601799169555,0.07190144000000001,0.9191916584968567,-1.4992175251245499,0.016439145954791456,9.86,11308.36,,,,
1406976,20078,70,1374,0.0017139222,0.00017970239999999998,-0.019676849246025085,5492,0.137451171875,-0.007535097684012726,0.07188096,0.9214721918106079,-1.5227672010660172,0.017098540673032403,9.86,11308.36,,,,
1408000,20088,70,1375,0.0017989883,0.0001796512,-0.015683086588978767,5496,0.146484375,-0.00676974788075313,0.07186048,0.900717556476593,-1.45956040173769,0.008668162685353309,9.98,11234.03,,,,
1409024,20098,70,1376,0.0017510995,0.00017959999999999997,-0.017452644184231758,5500,0.117919921875,-0.007515925099141896,0.07184,0.9187766909599304,-1.4930977150797844,0.021519203728530556,9.99,11248.19,,,,
1410048,20108,70,1377,0.0018307697,0.00017954880000000002,-0.013282226398587227,5504,0.177978515625,-0.007371927873464301,0.07181952000000001,0.8366211652755737,-1.520299293100834,0.038860607193782926,9.99,11248.19,,,,
1411072,20117,70,1378,0.002411267,0.0001794976,-0.021636346355080605,5508,0.148193359375,-0.008361473242985085,0.07179904,0.8840073943138123,-1.4840433225035667,0.03031898569315672,9.99,11248.19,,,,
1412096,20128,70,1379,0.0022921185,0.00017944640000000002,-0.014452360570430756,5512,0.114990234375,-0.007520324608776718,0.07177856,0.8901494145393372,-1.5098218470811844,0.03419833385851234,10.46,11080.92,,,,
1413120,20138,70,1380,0.0019841506,0.0001793952,-0.019977470859885216,5516,0.10400390625,-0.007534142176155001,0.07175808,0.8820131421089172,-1.4759853854775429,0.02661071065813303,10.46,11080.92,,,,
1414144,20148,70,1381,0.0021817354,0.000179344,-0.013304205611348152,5520,0.1259765625,-0.0061509033548645675,0.0717376,0.8977712988853455,-1.4867371544241905,0.029633546015247703,10.46,11080.92,,,,
1415168,20158,70,1382,0.0018865925,0.0001792928,-0.02319914475083351,5524,0.119384765625,-0.008257665322162211,0.07171712000000001,0.912827730178833,-1.4832001999020576,0.03174380713608116,10.46,11080.92,,,,
1416192,20168,70,1383,0.0022415703,0.0001792416,-0.018110621720552444,5528,0.111572265625,-0.0064817595412023365,0.07169664,0.9299689531326294,-1.5187031105160713,0.025797192589379847,10.46,11080.92,,,,
1417216,20178,70,1384,0.0025303657,0.0001791904,-0.021989066153764725,5532,0.137451171875,-0.008450195557088591,0.07167616,0.9292172193527222,-1.4919534996151924,0.0193558560567908,10.44,11076.89,,,,
1418240,20188,70,1385,0.0025490646,0.0001791392,-0.018486598506569862,5536,0.16064453125,-0.009181640692986548,0.07165568,0.9354177117347717,-1.5099632740020752,0.019554933882318437,10.62,10990.21,,,,
1419264,20198,70,1386,0.00238169,0.000179088,-0.017130635678768158,5540,0.155029296875,-0.009820320905419067,0.0716352,0.9012067317962646,-1.521747812628746,0.030377093236893415,10.62,10990.21,,,,
1420288,20208,70,1387,0.002200099,0.00017903679999999999,-0.024867836385965347,5544,0.126708984375,-0.007620138174388558,0.07161472,0.8834454417228699,-1.4982508942484856,0.02983195858541876,10.62,10990.21,,,,
1421312,20218,70,1388,0.0015690653,0.0001789856,-0.02523161843419075,5548,0.1220703125,-0.007491264259442687,0.07159424,0.9212245941162109,-1.4882323145866394,0.01710708939936012,10.62,10990.21,,,,
1422336,20228,70,1389,0.0016185273,0.0001789344,-0.022782137617468834,5552,0.10888671875,-0.007316407922189683,0.07157376,0.8490931391716003,-1.529886819422245,0.03115755843464285,10.62,10990.21,,,,
1423360,20238,70,1390,0.0024352763,0.00017888320000000003,-0.005529724061489105,5556,0.148681640625,-0.005040327261667699,0.07155328000000001,0.7821819186210632,-1.424553819000721,0.04564058524556458,10.62,10990.21,,,,
1424384,20248,70,1391,0.0021489179,0.000178832,-0.021106448024511337,5560,0.15185546875,-0.0063455033814534545,0.0715328,0.8550558090209961,-1.490733653306961,0.01520549546694383,10.63,10968.55,,,,
1425000,,,,0.0024430696,0.00017878080000000002,-0.020594961941242218,5564,0.193603515625,-0.007000727695412934,0.07151232,0.9007102847099304,-1.4776515662670135,0.019006086455192417,,,8710.0,8710.0,11.8,-189.44
1425408,20347,70,1392,,,,,,,,,,,10.63,10968.55,,,,
1426432,20357,70,1393,0.0022503608,0.0001787296,-0.012965716421604156,5568,0.10107421875,-0.0054595387482549995,0.07149184,0.8566439151763916,-1.4761888310313225,0.029199727228842676,10.56,10979.03,,,,
1427456,20367,70,1394,0.0016421083,0.00017867840000000001,-0.01559712365269661,5572,0.146484375,-0.006100764643633738,0.07147136000000001,0.8413415551185608,-1.4656034633517265,0.02984829363413155,10.56,10979.03,,,,
1428480,20377,70,1395,0.0014898279,0.00017862719999999998,-0.01104160025715828,5576,0.143310546875,-0.004705101542640477,0.07145088,0.8830308318138123,-1.491992600262165,0.026770217111334205,10.56,10978.1,,,,
1429504,20387,70,1396,0.0012277928,0.000178576,-0.017428208142518997,5580,0.11767578125,-0.005775683734100312,0.0714304,0.83293616771698,-1.4919056743383408,0.03766462905332446,10.9,10903.97,,,,
1430528,20397,70,1397,0.0023430702,0.00017852479999999998,-0.018311677500605583,5584,0.142822265625,-0.007633764762431383,0.07140992,0.8857281804084778,-1.4846298471093178,0.03178425086662173,10.9,10903.97,,,,
1431552,20407,70,1398,0.0025409237,0.00017847360000000003,-0.013648327440023422,5588,0.162841796875,-0.0067656676401384175,0.07138944000000001,0.8706955313682556,-1.482971452176571,0.04143862542696297,11.2,10831.78,,,,
1432576,20417,70,1399,0.001842469,0.0001784224,0.01180146262049675,5592,0.143310546875,-0.005689522891771048,0.07136896,0.6843334436416626,-1.4552218466997147,0.0792564528528601,11.41,10778.04,,,,
