time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2964,1185792,400,1158,0.07630464,0.0001907616,0.06467225681990385,0.2490234375,-1.3289170861244202,-0.0032697157585062087,0.701640248298645,4628,0.002581211,-0.005669284611940384,-1.37,10777.91,,,,
2965,1186816,400,1159,0.07628416,0.0001907104,0.04076305590569973,0.22509765625,-1.2948821634054184,-0.005728820455260575,0.846927285194397,4632,0.0034883653,-0.012538442388176918,-1.37,10777.91,,,,
2966,1187840,400,1160,0.07626368,0.0001906592,0.04105862509459257,0.154052734375,-1.3093694746494293,-0.005627021775580943,0.8573681116104126,4636,0.0021888635,-0.006543632596731186,-1.67,10789.65,,,,
2967,1188864,400,1161,0.07624320000000001,0.00019060800000000002,0.05117359315045178,0.116943359375,-1.2638570591807365,-0.004661413142457604,0.8522255420684814,4640,0.0019411541,0.0005312580615282059,-1.67,10789.65,,,,
2968,1189888,400,1162,0.07622272000000001,0.0001905568,0.059641201281920075,0.168212890625,-1.335623525083065,-0.004713368951343,0.8190191984176636,4644,0.0030026108,0.0006396118551492691,-1.55,10774.73,,,,
2969,1190912,401,1163,0.07620224,0.0001905056,0.050867083016783,0.119140625,-1.294359304010868,-0.0044483537203632295,0.829473614692688,4648,0.0021542911,0.0013056173920631409,-1.55,10774.73,,,,
2970,1191936,401,1164,0.07618176,0.0001904544,0.028133721090853214,0.088134765625,-1.3160035014152527,-0.006014169077388942,0.911636233329773,4652,0.0017515265,-0.02053849957883358,-1.55,10774.73,,,,
2971,1192960,401,1165,0.07616128,0.0001904032,0.03872768522705883,0.124755859375,-1.2781303822994232,-0.006776631373213604,0.8936185240745544,4656,0.0022470183,-0.00996444933116436,-1.55,10774.73,,,,
2972,1193984,401,1166,0.07614080000000001,0.000190352,0.028779139509424567,0.13525390625,-1.2971659675240517,-0.0065560981165617704,0.9381553530693054,4660,0.0021838923,-0.014259504154324532,-1.55,10774.73,,,,
2973,1195008,401,1167,0.07612032,0.0001903008,0.04955560411326587,0.135009765625,-1.293149746954441,-0.006663617095910013,0.8822759389877319,4664,0.002275543,-0.009175324812531471,-1.55,10774.73,,,,
