time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward
13779,886,65,907264,0.08187520000000001,0.06787109375,0.00020468800000000002,0.06814987235702574,0.7717702984809875,-1.3119023144245148,-0.0028876057476736605,0.001857258,3540,-0.0024985428899526596,8679.16,0.99,,,,
13790,887,65,908288,0.08185472,0.0966796875,0.0002046368,0.05148927355185151,0.839109480381012,-1.251987524330616,-0.003359197871759534,0.0023554736,3544,0.0030033551156520844,8675.94,0.82,,,,
13800,888,65,909312,0.08183424,0.1513671875,0.0002045856,0.04400140652433038,0.8764529824256897,-1.2850738614797592,-0.0025292416103184223,0.0019958634,3548,-0.0020431317389011383,8663.98,0.79,,,,
13811,889,65,910336,0.08181376000000001,0.078857421875,0.0002045344,0.03760016756132245,0.9184301495552063,-1.2645674869418144,-0.0038765758217778057,0.0019318599,3552,-0.010220663622021675,8663.98,0.79,,,,
13822,890,65,911360,0.08179328000000001,0.11279296875,0.0002044832,0.043700003530830145,0.8926913142204285,-1.3113384619355202,-0.004915001103654504,0.0025925185,3556,-0.00709708034992218,8690.84,0.75,,,,
13832,891,65,912384,0.0817728,0.134521484375,0.000204432,0.04540840396657586,0.9097902774810791,-1.309464305639267,-0.0017282776534557343,0.0017445314,3560,-0.0008583683520555496,8690.84,0.75,,,,
13843,892,65,913408,0.08175232,0.0478515625,0.0002043808,0.08479384938254952,0.7303295135498047,-1.3025230094790459,-0.002357235789531842,0.0011561261,3564,0.018681276589632034,8690.84,0.75,,,,
13853,893,66,914432,0.08173184,0.108642578125,0.00020432960000000002,0.08232798404060304,0.733738362789154,-1.31500094383955,-0.005060814961325377,0.0024228366,3568,0.01584254391491413,8654.09,0.6,,,,
13864,894,66,915456,0.08171136000000001,0.107177734375,0.0002042784,0.028805474867112935,0.8957732915878296,-1.2775728404521942,-0.0028277736564632505,0.0021335087,3572,-0.009184102527797222,8654.09,0.6,,,,
13874,895,66,916480,0.08169088000000001,0.11474609375,0.0002042272,0.04759656311944127,0.8053632974624634,-1.285207100212574,-0.0048402941902168095,0.001623483,3576,-0.0004056878387928009,8654.09,0.6,,,,
13885,896,66,917504,0.0816704,0.07421875,0.000204176,0.05038940953090787,0.8191037178039551,-1.2661174088716507,-0.0034181920054834336,0.0012731949,3580,0.006204850971698761,8654.09,0.6,,,,
13896,897,66,918528,0.08164992,0.0810546875,0.0002041248,0.04356126207858324,0.8597354888916016,-1.2788597270846367,-0.004727964536868967,0.0020294075,3584,-0.004158530384302139,8654.09,0.6,,,,
13906,898,66,919552,0.08162944,0.125732421875,0.0002040736,0.043634440982714295,0.854693591594696,-1.2476205453276634,-0.0024567721411585808,0.0016283726,3588,0.009826869703829288,8664.89,0.92,,,,
13917,899,66,920576,0.08160896000000001,0.06298828125,0.0002040224,0.04582539456896484,0.8842750787734985,-1.2672199010849,-0.0029342420457396656,0.0012073752,3592,-0.0014791060239076614,8664.89,0.92,,,,
13928,900,66,921600,0.08158848,0.10986328125,0.0002039712,0.03206261096056551,0.9138340353965759,-1.2732357829809189,-0.004635296849301085,0.0016371325,3596,-0.005478649400174618,8664.89,0.92,,,,
13938,901,66,922624,0.081568,0.079345703125,0.00020391999999999999,0.058982630260288715,0.8165064454078674,-1.2965215742588043,-0.0031937784515321255,0.001501052,3600,0.001361338421702385,8651.01,0.97,,,,
13950,902,66,923648,0.08154752000000001,0.103759765625,0.0002038688,0.024027785402722657,0.9291377067565918,-1.2255755737423897,-0.003422562120249495,0.0022595378,3604,-0.007646963000297546,8648.38,0.78,,,,
13960,903,66,924672,0.08152704,0.108642578125,0.0002038176,0.03316671762149781,0.9050089120864868,-1.277274951338768,-0.004177659458946437,0.0023360013,3608,-0.010195580311119556,8648.38,0.78,,,,
,,,925000,0.08150656,0.137451171875,0.00020376640000000003,0.025680723949335515,0.9265694618225098,-1.2607905492186546,-0.003299988806247711,0.0027469154,3612,-0.007042416371405125,,,8.6,7877.2,7877.2,-164.184
14061,904,65,925696,,,,,,,,,,,8609.68,0.93,,,,
14071,905,65,926720,0.08148608,0.104736328125,0.0002037152,0.03624231647700071,0.8704783916473389,-1.2616052851080894,-0.0035043646348640323,0.002618067,3616,0.0029476862400770187,8614.9,1.29,,,,
14082,906,65,927744,0.08146560000000001,0.0771484375,0.00020366400000000002,0.028262874577194452,0.9154418110847473,-1.262052521109581,-0.0039273152651730925,0.0017432553,3620,-0.015063291415572166,8614.9,1.29,,,,
14093,907,65,928768,0.08144512,0.11572265625,0.0002036128,0.02701601677108556,0.9184450507164001,-1.247343935072422,-0.003941126633435488,0.0020521109,3624,-0.01047557219862938,8622.28,1.3,,,,
14104,908,65,929792,0.08142464,0.13134765625,0.0002035616,0.028311150847002864,0.9270758628845215,-1.250933289527893,-0.004821099835680798,0.0014578688,3628,-0.006724291481077671,8622.28,1.3,,,,
14115,909,65,930816,0.08140416,0.14404296875,0.0002035104,0.03544100560247898,0.9211357235908508,-1.2659161016345024,-0.003173342702211812,0.0016464868,3632,-0.002215469256043434,8622.28,1.3,,,,
14126,910,65,931840,0.08138368000000001,0.169921875,0.0002034592,0.02242933795787394,0.9332672357559204,-1.2630605697631836,-0.0035438321356195956,0.001811622,3636,-0.006723958998918533,8648.49,1.08,,,,
14137,911,65,932864,0.08136320000000001,0.07373046875,0.000203408,0.02735166938509792,0.924254834651947,-1.307136744260788,-0.004393447918118909,0.001675933,3640,-0.013464382849633694,8640.76,1.4,,,,
14147,912,66,933888,0.08134272000000001,0.10693359375,0.0002033568,0.037233242648653686,0.8987537026405334,-1.2877304702997208,-0.003369264886714518,0.0027148658,3644,-0.008192013949155807,8640.76,1.4,,,,
14157,913,66,934912,0.08132224,0.038818359375,0.00020330560000000002,0.05451096501201391,0.8520795702934265,-1.3013304695487022,-0.0024479650164721534,0.0013591687,3648,0.004514966160058975,8640.76,1.4,,,,
