time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_object_reward
10831,4006,4102144,378,0.017977600000000007,16020,-1.476601965725422,-0.0021148480009287596,0.00013483636,-0.013276120647788048,4.4944000000000016e-05,0.009084312710911036,0.9342494010925293,0.1513671875,19.35,9216.79,,,,
10832,4007,4103168,378,0.017957120000000003,16024,-1.5280983299016953,-0.0024060335417743772,0.00013133028,-0.016120316460728645,4.489280000000001e-05,0.006699498742818832,0.9284695982933044,0.11181640625,19.36,9227.54,,,,
10833,4008,4104192,378,0.017936640000000004,16028,-1.4757124558091164,-0.002787035598885268,0.00015534705,-0.017136767506599426,4.484160000000001e-05,0.006805507437093183,0.9432138204574585,0.155029296875,19.36,9227.54,,,,
10834,4009,4105216,378,0.017916160000000004,16032,-1.461497113108635,-0.0023109252797439694,0.00020629179,-0.007477853447198868,4.479040000000001e-05,0.02204050589352846,0.8660093545913696,0.157470703125,19.36,9227.54,,,,
10835,4010,4106240,378,0.017895680000000004,16036,-1.4751579612493515,-0.0014729726244695485,0.00014608336,-0.010219167917966843,4.473920000000001e-05,0.023370621842332184,0.8202831745147705,0.118896484375,19.36,9227.54,,,,
10836,4011,4107264,379,0.017875200000000004,16040,-1.50642928481102,-0.002208332472946495,0.00013798464,-0.017094455659389496,4.4688e-05,0.008998389210319147,0.9507911801338196,0.126953125,19.36,9227.54,,,,
10837,4012,4108288,379,0.01785472,16044,-1.5090667605400085,-0.0024074768589343876,0.00016142998,-0.01696237176656723,4.4636800000000006e-05,0.00674628364504315,0.9655240774154663,0.1611328125,19.36,9227.54,,,,
10838,4013,4109312,379,0.01783424,16048,-1.487717755138874,-0.0019451339321676642,0.00032644626,-0.011959170922636986,4.45856e-05,0.02249425125773996,0.8908953070640564,0.142333984375,19.36,9227.54,,,,
10839,4014,4110336,379,0.01781376,16052,-1.5263224989175797,-0.001871503598522395,0.0001343799,-0.0168925691395998,4.4534400000000005e-05,0.0052551386470440775,0.9578709602355957,0.100830078125,19.36,9227.54,,,,
10840,4015,4111360,379,0.01779328,16056,-1.5254492908716202,-0.0018365337455179542,0.00010926719,-0.016749517992138863,4.44832e-05,0.006465726648457348,0.9578124284744263,0.1240234375,19.36,9284.84,,,,
10841,4016,4112384,379,0.017772800000000002,16060,-1.484894335269928,-0.0019071545684710145,0.00015953142,-0.008711745962500572,4.4432e-05,0.01847962028114125,0.901405394077301,0.171875,19.36,9284.84,,,,
10842,4017,4113408,379,0.01775232,16064,-1.4951077029109001,-0.0022586509585380554,0.0001290674,-0.012392502278089523,4.43808e-05,0.01544125034706667,0.910115659236908,0.10595703125,19.36,9284.84,,,,
10843,4018,4114432,379,0.01773184,16068,-1.4850216209888458,-0.002291231183335185,0.00014980906,-0.013965247198939323,4.4329599999999997e-05,0.011059596843551844,0.9340031743049622,0.1044921875,19.5,9277.34,,,,
10844,4019,4115456,379,0.01771136,16072,-1.4871598780155182,-0.002225626725703478,0.00016437366,-0.005475920625030994,4.42784e-05,0.022989070450421423,0.8885089755058289,0.13818359375,19.5,9277.34,,,,
10845,4020,4116480,379,0.01769088,16076,-1.5066991746425629,-0.002169468192732893,0.00014960679,-0.014666853472590446,4.4227199999999996e-05,0.010046291688922793,0.9224457740783691,0.12939453125,19.5,9277.34,,,,
10846,4021,4117504,379,0.0176704,16080,-1.481441929936409,-0.0023854503815528005,0.00016764988,-0.013781288638710976,4.417599999999999e-05,0.010982419946230948,0.9449045062065125,0.1416015625,19.5,9277.34,,,,
10847,4022,4118528,379,0.017649919999999996,16084,-1.475601077079773,-0.0020677345455624163,0.00019205891,-0.009811602532863617,4.4124799999999995e-05,0.017668742104433477,0.8866675496101379,0.1337890625,19.5,9288.36,,,,
10848,4023,4119552,379,0.017629439999999996,16088,-1.5157060623168945,-0.0015970884123817086,0.00018552662,-0.014607828110456467,4.407359999999999e-05,0.010051913501229137,0.9396840333938599,0.110595703125,19.51,9302.23,,,,
10849,4024,4120576,379,0.017608959999999996,16092,-1.4528433978557587,-0.0021541951573453844,0.00017938728,-0.0102049820125103,4.402239999999999e-05,0.019593890174292028,0.9229784607887268,0.115234375,19.51,9302.23,,,,
10850,4025,4121600,379,0.017588479999999997,16096,-1.5239546969532967,-0.002266500669065863,0.00014984573,-0.016956428065896034,4.397119999999999e-05,0.006854957668110728,0.9657385945320129,0.115234375,19.51,9302.23,,,,
10851,4026,4122624,379,0.017567999999999997,16100,-1.4687192514538765,-0.0017558913677930832,0.00022492104,-0.014843619428575039,4.3919999999999986e-05,0.007551447371952236,0.9531649351119995,0.1552734375,19.51,9302.23,,,,
10852,4027,4123648,379,0.017547520000000007,16104,-1.51480982452631,-0.0020292793633416295,0.00013650197,-0.015794843435287476,4.3868800000000016e-05,0.006473190034739673,0.9628074765205383,0.150146484375,19.5,9322.7,,,,
10853,4028,4124672,380,0.017527040000000004,16108,-1.5129039213061333,-0.0026677531423047185,0.000159026,-0.018311187624931335,4.381760000000001e-05,0.0053137333889026195,0.97102290391922,0.150634765625,19.5,9366.06,,,,
,,4125000,,0.017506560000000004,16112,-1.4804215654730797,-0.0026729149685706943,0.00014620065,-0.016737502068281174,4.376640000000001e-05,0.0052390652417670935,0.9668145179748535,0.14697265625,,,11176.2,11176.2,21.0,-294.1266668
10900,4029,4125696,378,,,,,,,,,,,19.49,9353.29,,,,
10901,4030,4126720,378,0.017486080000000005,16116,-1.4920287132263184,-0.0023265269119292498,0.00023024977,-0.01442343182861805,4.371520000000001e-05,0.0080883638584055,0.9451097249984741,0.186279296875,19.49,9353.29,,,,
10902,4031,4127744,378,0.017465600000000005,16120,-1.507813110947609,-0.0023863963142503053,0.00016451097,-0.013482671231031418,4.366400000000001e-05,0.015491477737668902,0.9115018844604492,0.142333984375,19.49,9353.29,,,,
10903,4032,4128768,378,0.017445120000000005,16124,-1.4384875446557999,-0.0021431712666526437,0.00014415849,-0.014637848362326622,4.361280000000001e-05,0.010364039218984544,0.944068968296051,0.111572265625,19.48,9364.54,,,,
10904,4033,4129792,378,0.01742464,16128,-1.4898294508457184,-0.0016763695457484573,0.00017381029,-0.011752097867429256,4.3561600000000007e-05,0.015361141064204276,0.8848323225975037,0.1484375,19.47,9360.99,,,,
10905,4034,4130816,378,0.017404160000000002,16132,-1.4890816286206245,-0.002324117231182754,0.00014839077,-0.017017655074596405,4.35104e-05,0.008048926421906799,0.9522189497947693,0.14404296875,19.47,9360.99,,,,
10906,4035,4131840,378,0.017383680000000002,16136,-1.4729550257325172,-0.002100126221193932,0.00022620178,-0.014690237119793892,4.3459200000000006e-05,0.012057884247042239,0.9263959527015686,0.122314453125,19.47,9360.99,,,,
10907,4036,4132864,378,0.017363200000000002,16140,-1.5099368020892143,-0.0019372227834537625,0.00012923381,-0.0127381207421422,4.3408e-05,0.012856733228545636,0.9039331674575806,0.1025390625,19.47,9360.99,,,,
10908,4037,4133888,378,0.017342720000000002,16144,-1.491859219968319,-0.002335398690775037,0.00014284026,-0.01564072072505951,4.3356800000000005e-05,0.008331929100677371,0.9569565057754517,0.129638671875,19.47,9360.99,,,,
10909,4038,4134912,379,0.01732224,16148,-1.4806833192706108,-0.0022882084012962878,0.0001832922,-0.014873103238642216,4.33056e-05,0.008637262071715668,0.9489591717720032,0.140380859375,19.48,9372.44,,,,
10910,4039,4135936,379,0.01730176,16152,-1.5140682831406593,-0.0018958787259180099,0.00015659118,-0.012546502985060215,4.32544e-05,0.013937175914179534,0.8994404673576355,0.158203125,19.48,9372.44,,,,
10911,4040,4136960,379,0.01728128,16156,-1.4249382019042969,-0.001417117309756577,0.0001742118,0.0010673999786376953,4.32032e-05,0.041647994075901806,0.8516951203346252,0.11279296875,19.48,9372.44,,,,
10912,4041,4137984,379,0.0172608,16160,-1.4723892733454704,-0.0015153386630117893,0.00023808063,-0.009536737576127052,4.3151999999999996e-05,0.02209905325435102,0.8266400098800659,0.18408203125,19.48,9372.44,,,,
10913,4042,4139008,379,0.01724032,16164,-1.529064618051052,-0.0018125390342902392,0.00012661808,-0.007985733449459076,4.310079999999999e-05,0.02365894988179207,0.8395295143127441,0.108154296875,19.49,9394.16,,,,
10914,4043,4140032,379,0.017219839999999997,16168,-1.4689454063773155,-0.002180264316848479,0.00015885121,-0.01575773023068905,4.3049599999999995e-05,0.007590479304781184,0.9492876529693604,0.12109375,19.49,9394.16,,,,
