time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length
357376,349,86,4109,0.00023218240000000002,0.004264887422323227,0.09130859375,0.09287296,-1.4968523383140564,0.04935279255732894,0.0035385748,0.7131308317184448,1392,-0.002264278969960287,3840.42,-20.12,,,,
358400,350,87,4119,0.00023213120000000002,0.009801054373383522,0.02587890625,0.09285248000000002,-1.4475798830389977,0.06356309237889946,0.0009175862,0.6600478887557983,1396,-0.002002688037464395,3840.42,-20.12,,,,
359424,351,87,4129,0.00023208000000000001,0.007241709157824516,0.06005859375,0.09283200000000001,-1.4098557531833649,0.05193274421617389,0.0005918096,0.6277284622192383,1400,-0.0007540645310655236,3840.42,-20.12,,,,
360448,352,87,4140,0.0002320288,0.0016468260437250137,0.0048828125,0.09281152000000001,-1.455663375556469,0.05591670935973525,0.00059138093,0.68597412109375,1404,-0.0011753551079891622,3840.27,-20.11,,,,
361472,353,87,4150,0.0002319776,0.01147143542766571,0.064208984375,0.09279104,-1.4611394852399826,0.06255923979915679,0.00129279,0.7499618530273438,1408,-0.00046553570427931845,3840.95,-20.11,,,,
362496,354,87,4160,0.0002319264,0.0332803912460804,0.148681640625,0.09277056,-1.4700824171304703,0.10297487117350101,0.0026790681,0.5381001234054565,1412,-0.0024891590292099863,3836.81,-20.1,,,,
363520,355,87,4170,0.0002318752,0.006391394883394241,0.04443359375,0.09275008000000001,-1.4625610262155533,0.06291878037154675,0.0015648529,0.5952581167221069,1416,-0.0013989922008477151,3831.58,-20.1,,,,
364544,356,87,4179,0.000231824,0.004198115319013596,0.025634765625,0.09272960000000001,-1.4272164329886436,0.060668265679851174,0.0013281375,0.70778489112854,1420,-0.0023816144093871117,3831.58,-20.1,,,,
365568,357,87,4189,0.00023177280000000002,0.013270368799567223,0.1416015625,0.09270912,-1.4527251571416855,0.08296054042875767,0.0012520349,0.6347018480300903,1424,-0.0020302839984651655,3848.92,-20.09,,,,
366592,358,87,4199,0.00023172160000000001,0.01692875660955906,0.107177734375,0.09268864,-1.4446371719241142,0.09992330288514495,0.0023553388,0.7837170958518982,1428,-0.0031835863483138382,3870.05,-20.05,,,,
367616,359,87,4209,0.0002316704,0.015866059809923172,0.044189453125,0.09266816,-1.4072157144546509,0.07280557509511709,0.001454904,0.5926539897918701,1432,0.0005096279346616939,3870.05,-20.05,,,,
368640,360,87,4220,0.0002316192,0.018611475825309753,0.080322265625,0.09264768000000001,-1.3923679664731026,0.0799300279468298,0.0018532772,0.2992546558380127,1436,-0.0018830937333405018,3870.05,-20.05,,,,
369664,361,87,4230,0.000231568,0.007536902092397213,0.10888671875,0.0926272,-1.385698325932026,0.0605363876093179,0.0031537581,0.6271666288375854,1440,-0.0007131618913263083,3873.62,-20.03,,,,
370688,362,87,4240,0.0002315168,0.0018621739000082016,0.16259765625,0.09260672,-1.421794481575489,0.04109162127133459,0.0020654802,0.8627787232398987,1444,-0.0015255796606652439,3880.54,-19.99,,,,
371712,363,87,4251,0.0002314656,0.011870057322084904,0.0849609375,0.09258624,-1.411193996667862,0.05588497524149716,0.0021288479,0.6764327883720398,1448,-0.0006544151256093755,3905.5,-19.97,,,,
372736,364,87,4261,0.0002314144,0.023194696754217148,0.06396484375,0.09256576,-1.4088617041707039,0.10655765514820814,0.0011534735,0.5283697843551636,1452,0.00034264619171153754,3907.94,-19.97,,,,
373760,365,87,4271,0.0002313632,0.008453257381916046,0.051513671875,0.09254528000000001,-1.3946339264512062,0.06547047779895365,0.00087719545,0.7387498617172241,1456,-0.0024896595568861812,3930.71,-19.93,,,,
374784,366,87,4281,0.00023131199999999998,0.01345743052661419,0.0419921875,0.0925248,-1.3303287848830223,0.07913465518504381,0.0016572557,0.5996006727218628,1460,-0.0023633786622667685,3930.71,-19.93,,,,
375000,,,,0.0002312608,0.011889858171343803,0.0537109375,0.09250432,-1.3618489876389503,0.05622549098916352,0.0018354871,0.7954869866371155,1464,-0.0018701140070334077,,,-27.74,3056.0,-21.0,3056.0
375808,367,86,4323,,,,,,,,,,,3950.29,-19.92,,,,
376832,368,86,4333,0.00023120960000000003,0.007843460887670517,0.093505859375,0.09248384000000001,-1.329569198191166,0.06335382699035108,0.0010982875,0.6378214359283447,1468,-0.002171705651562661,3950.29,-19.92,,,,
377856,369,86,4343,0.0002311584,0.03579851612448692,0.041015625,0.09246336,-1.317221961915493,0.1363942651078105,0.0020459148,0.41018885374069214,1472,-0.001271334578632377,3950.29,-19.92,,,,
378880,370,87,4354,0.00023110720000000002,0.008648875169456005,0.05908203125,0.09244288,-1.323318362236023,0.05622753268107772,0.001906493,0.5788758397102356,1476,-0.0013541792868636549,3960.03,-19.9,,,,
379904,371,87,4364,0.00023105600000000002,0.022448522970080376,0.087158203125,0.09242240000000002,-1.34623134881258,0.08147656405344605,0.0022690643,0.7593598365783691,1480,-0.00030869882903061807,3993.35,-19.85,,,,
380928,372,87,4375,0.00023100480000000001,0.01805126667022705,0.043212890625,0.09240192000000001,-1.286573775112629,0.07247262843884528,0.00085971056,0.6002663373947144,1484,-0.0009391263884026557,3999.64,-19.83,,,,
381952,373,87,4385,0.0002309536,0.0231332890689373,0.25146484375,0.09238144000000001,-1.2812619730830193,0.0887555512599647,0.0012864596,0.4678405523300171,1488,-0.00023067888105288148,4001.46,-19.81,,,,
382976,374,87,4395,0.0002309024,-0.00952166598290205,0.0703125,0.09236096,-1.2511144876480103,0.035589543636888266,0.0014938882,0.7924512624740601,1492,-0.003811116548604332,4001.46,-19.81,,,,
384000,375,87,4405,0.0002308512,0.01924605667591095,0.116455078125,0.09234048,-1.2396292686462402,0.08012924762442708,0.0010750645,0.5458129644393921,1496,-0.0017010745941661298,4010.3,-19.8,,,,
385024,376,87,4415,0.0002308,0.02231280691921711,0.057373046875,0.09232000000000001,-1.2383137941360474,0.08831975096836686,0.002094015,0.6754624247550964,1500,-0.0022100328060332686,4025.21,-19.8,,,,
386048,377,87,4425,0.0002307488,0.01921098679304123,0.106689453125,0.09229952000000001,-1.2154342755675316,0.06751570128835738,0.001862674,0.7069689035415649,1504,-0.0028159706853330135,4025.21,-19.8,,,,
387072,378,87,4436,0.00023069760000000002,0.014977782964706421,0.105224609375,0.09227904,-1.2140896767377853,0.08711778931319714,0.0023286948,0.6407743692398071,1508,-0.004866473522270098,4025.21,-19.8,,,,
388096,379,87,4447,0.00023064640000000001,0.03291572257876396,0.033935546875,0.09225856,-1.2605272606015205,0.09404744021594524,0.00091353443,0.6271730661392212,1512,-0.000283075962215662,4033.19,-19.79,,,,
389120,380,87,4457,0.0002305952,0.01213834434747696,0.164306640625,0.09223808,-1.2644475921988487,0.08006971934810281,0.00097282114,0.4976944327354431,1516,-0.0001749784278217703,4046.39,-19.78,,,,
390144,381,87,4467,0.000230544,0.031238524243235588,0.147216796875,0.09221760000000001,-1.2731839418411255,0.10446906555444002,0.0030478733,0.5350865125656128,1520,-0.0009286292479373515,4083.97,-19.75,,,,
391168,382,87,4477,0.0002304928,0.0322452075779438,0.18408203125,0.09219712000000001,-1.2961991131305695,0.06827573478221893,0.0020611528,0.7410742044448853,1524,-0.0013745453907176852,4083.97,-19.75,,,,
392192,383,87,4487,0.0002304416,0.030590295791625977,0.116455078125,0.09217664,-1.34518963098526,0.09146026521921158,0.0020125674,0.6364943981170654,1528,-0.0015100451855687425,4127.15,-19.69,,,,
393216,384,87,4497,0.0002303904,0.011118080466985703,0.162109375,0.09215616,-1.3335541561245918,0.07527754176408052,0.0028555742,0.5705077648162842,1532,-0.002364995889365673,4127.15,-19.69,,,,
394240,385,87,4508,0.0002303392,0.033504605293273926,0.08984375,0.09213568,-1.2915347665548325,0.09490459132939577,0.0014475461,0.4733089208602905,1536,-0.002565807750215754,4141.83,-19.67,,,,
395264,386,87,4518,0.000230288,0.0074621811509132385,0.11279296875,0.09211520000000001,-1.275247149169445,0.04617727128788829,0.0008742231,0.7301037311553955,1540,-0.0012950157542945817,4159.19,-19.64,,,,
396288,387,87,4529,0.00023023679999999998,0.025595851242542267,0.10205078125,0.09209472,-1.2794336751103401,0.07545661902986467,0.0030687514,0.49758273363113403,1544,-0.001534604947664775,4159.19,-19.64,,,,
397312,388,87,4539,0.0002301856,0.010844282805919647,0.06689453125,0.09207424,-1.2394126579165459,0.06842785677872598,0.0013103663,0.5305153131484985,1548,-0.0026679966831579804,4168.11,-19.64,,,,
398336,389,87,4549,0.0002301344,0.017079386860132217,0.116943359375,0.09205376,-1.2422609999775887,0.06740042311139405,0.0025701518,0.636978805065155,1552,0.0001676247629802674,4186.77,-19.61,,,,
399360,390,87,4560,0.0002300832,0.005888720974326134,0.126953125,0.09203328,-1.2385249584913254,0.05398646113462746,0.001678675,0.7160583734512329,1556,-0.0008218085567932576,4186.77,-19.61,,,,
