time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
965,632,597,611328,-1.35230553150177,0.00021948480000000002,0.41494250297546387,-0.002682580874534324,0.0023819697,0.08779392000000001,0.117919921875,0.069038359913975,0.013687636703252792,2384,5389.32,-18.73,,,,
966,633,598,612352,-1.2861235737800598,0.0002194336,0.5400980710983276,-0.0027040201821364462,0.00208447,0.08777344000000001,0.082275390625,0.07747980975545943,0.02225908264517784,2388,5404.39,-18.76,,,,
967,633,599,613376,-1.2752160653471947,0.0002193824,0.48479270935058594,-0.0023780958872521296,0.0011861699,0.08775296,0.067138671875,0.07045479584485292,0.010151950642466545,2392,5487.81,-18.66,,,,
968,634,600,614400,-1.249075025320053,0.0002193312,0.5856183767318726,-0.003370376303792,0.002592816,0.08773248,0.106201171875,0.06301559670828283,0.011717060580849648,2396,5487.81,-18.66,,,,
969,634,601,615424,-1.2341821044683456,0.00021928,0.3790767788887024,-0.0027158457960467786,0.0017081185,0.08771200000000001,0.0703125,0.07594479084946215,0.021084235981106758,2400,5487.81,-18.66,,,,
970,634,602,616448,-1.2666242569684982,0.0002192288,0.3224934935569763,0.0015711293381173164,0.004019732,0.08769152000000001,0.170166015625,0.04885474545881152,0.009736042469739914,2404,5508.35,-18.66,,,,
971,635,603,617472,-1.2418462559580803,0.0002191776,0.3442806005477905,0.0006003318121656775,0.0032919422,0.08767104,0.110595703125,0.08272191090509295,0.026907052844762802,2408,5508.35,-18.66,,,,
972,635,604,618496,-1.2253344058990479,0.00021912640000000002,0.3585141897201538,-0.0017331368871964514,0.002151079,0.08765056,0.103515625,0.05664302874356508,0.010716631077229977,2412,5508.35,-18.66,,,,
973,636,605,619520,-1.2291464358568192,0.0002190752,0.5028451085090637,-0.0013725709868595004,0.0008582874,0.08763008,0.106689453125,0.06802975642494857,0.01939203403890133,2416,5532.44,-18.66,,,,
975,636,606,620544,-1.228066086769104,0.000219024,0.648324191570282,0.0010200378601439297,0.00404734,0.08760960000000001,0.243408203125,0.04085433506406844,0.014047905802726746,2420,5532.44,-18.66,,,,
976,636,607,621568,-1.2497076988220215,0.0002189728,0.4967281222343445,0.0017528155294712633,0.0043152915,0.08758912,0.255859375,0.06155967013910413,0.010960846208035946,2424,5532.44,-18.66,,,,
977,637,608,622592,-1.2756424993276596,0.0002189216,0.42742955684661865,-0.000509767618495971,0.0025818907,0.08756864,0.176025390625,0.06887821690179408,0.012722152285277843,2428,5552.9,-18.65,,,,
978,637,609,623616,-1.2525052428245544,0.0002188704,0.25037193298339844,0.0007814578129909933,0.0017683466,0.08754816,0.112548828125,0.0705951324198395,0.025826051831245422,2432,5552.9,-18.65,,,,
979,637,610,624640,-1.2830392643809319,0.0002188192,0.5208326578140259,-0.0015689162537455559,0.0028533211,0.08752768,0.09619140625,0.05086552258580923,0.019426222890615463,2436,5612.85,-18.57,,,,
,,,625000,-1.1986254528164864,0.000218768,0.3972284197807312,-0.0002500441623851657,0.0031278327,0.08750720000000001,0.22802734375,0.06099651055410504,0.013930946588516235,2440,,,9011.0,9011.0,-242.41333319999998,-15.4
1017,615,611,625664,,,,,,,,,,,5612.85,-18.57,,,,
1018,615,612,626688,-1.1986203789710999,0.00021871679999999999,0.41707468032836914,-0.0015086864004842937,0.0038288522,0.08748672,0.129638671875,0.08627400640398264,0.026834934949874878,2444,5633.8,-18.58,,,,
1019,615,613,627712,-1.2414292395114899,0.0002186656,0.6168277263641357,0.0007261548889800906,0.001541774,0.08746624000000001,0.12109375,0.053684434155002236,0.008337164297699928,2448,5701.61,-18.51,,,,
1020,616,614,628736,-1.218767374753952,0.00021861439999999998,0.2745116353034973,-0.002355303498916328,0.0019972445,0.08744576,0.103759765625,0.0662121819332242,0.009143578819930553,2452,5701.61,-18.51,,,,
