time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
64,4863,313344,306,-1.3705926835536957,0.04833984375,0.5482578277587891,1220,0.002513655,-0.0015727490826975554,0.0937536,0.10333702061325312,0.00023438400000000002,0.028662335127592087,-19.93,3952.1,,,,
64,4877,314368,307,-1.363928496837616,0.057861328125,0.7973617911338806,1224,0.0022972033,-0.0026738173328340054,0.09373312,0.044161999598145485,0.00023433280000000002,0.0027321968227624893,-19.93,3952.1,,,,
64,4891,315392,308,-1.3807350397109985,0.09033203125,0.6403507590293884,1228,0.0023422102,-0.002522853174014017,0.09371264000000001,0.06005003093741834,0.00023428160000000002,0.016237866133451462,-19.95,3939.07,,,,
64,4904,316416,309,-1.3772765845060349,0.028564453125,0.7745236158370972,1232,0.0010170292,-0.0004838933236896992,0.09369216000000001,0.053642081562429667,0.0002342304,0.013873602263629436,-19.95,3951.11,,,,
64,4919,317440,310,-1.358258217573166,0.072998046875,0.6794183254241943,1236,0.0015081586,-0.0009236256300937384,0.09367168000000001,0.054051290499046445,0.0002341792,0.006575940176844597,-19.95,3951.11,,,,
64,4933,318464,311,-1.3772825971245766,0.12109375,0.4165382385253906,1240,0.0016447117,-0.001815340896428097,0.0936512,0.11895351530984044,0.000234128,0.031067054718732834,-19.95,3951.11,,,,
64,4948,319488,312,-1.3803897127509117,0.056884765625,0.6174700260162354,1244,0.00085519254,-0.0004425212973728776,0.09363072,0.05768348113633692,0.0002340768,0.011748714372515678,-19.95,3954.92,,,,
64,4963,320512,313,-1.4088005796074867,0.113037109375,0.45740634202957153,1248,0.0017289217,-0.0009209481358993798,0.09361024000000001,0.0859963046386838,0.0002340256,0.0207365732640028,-19.97,3948.67,,,,
64,4978,321536,314,-1.3844259977340698,0.015625,0.8110707998275757,1252,0.0014791205,-0.0010229069011984393,0.09358976000000001,0.06250939681194723,0.0002339744,0.011982377618551254,-19.98,3949.83,,,,
64,4992,322560,315,-1.3807452619075775,0.06494140625,0.5714036226272583,1256,0.0017751295,-2.2236054064705968e-05,0.09356928,0.08481864351779222,0.0002339232,0.015367446467280388,-19.96,3969.29,,,,
64,5007,323584,316,-1.3837182372808456,0.135498046875,0.7665127515792847,1260,0.001103784,-0.001079733541700989,0.0935488,0.05019545671530068,0.000233872,0.00824384018778801,-19.95,3971.51,,,,
64,5021,324608,317,-1.3840771317481995,0.047607421875,0.36009788513183594,1264,0.0014033185,-0.0014248306688386947,0.09352832,0.0842391427140683,0.0002338208,0.020900947973132133,-19.94,3969.95,,,,
,,325000,,-1.3869117870926857,0.09716796875,0.5109562873840332,1268,0.0024475541,-0.001999284140765667,0.09350784000000001,0.08545628795400262,0.0002337696,0.018871240317821503,,,3056.0,3056.0,-72.96799999999999,-21.0
64,5072,325632,318,,,,,,,,,,,-19.92,3989.8,,,,
