time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward
,675000,,,0.06158235506154597,2636,0.001670047640800476,0.3663063645362854,0.08650368,0.0002162592,-0.006501358555397019,0.0026690715,0.124267578125,-1.3963069766759872,,,-1653.0699999999997,15294.0,15294.0,-21.0
10026,675840,67,660,,,,,,,,,,,8004.96,-18.26,,,,
10036,676864,67,661,0.0432456957641989,2640,-0.0019586775451898575,0.27002280950546265,0.08648320000000001,0.00021620800000000001,-0.003373567742528394,0.0030202286,0.166259765625,-1.3955980241298676,8044.62,-18.28,,,,
10047,677888,67,662,0.02707131067290902,2644,-0.016477499157190323,0.4772852063179016,0.08646272,0.0002161568,-0.004512974104727618,0.0017098077,0.119140625,-1.408913142979145,8044.62,-18.28,,,,
10058,678912,67,663,0.04364468879066408,2648,0.0008079633116722107,0.3342374563217163,0.08644224,0.0002161056,-0.005259559984551743,0.002227406,0.0830078125,-1.3844278529286385,8044.62,-18.28,,,,
10068,679936,67,664,0.031655855011194944,2652,-0.006356595084071159,0.5139428377151489,0.08642176000000001,0.0002160544,-0.006929307943210006,0.0023868396,0.112548828125,-1.404042162001133,8094.85,-18.28,,,,
10078,680960,67,665,0.024728143704123795,2656,-0.01675744727253914,0.5479162931442261,0.08640128000000001,0.0002160032,-0.005683723138645291,0.0023281947,0.148193359375,-1.4709760323166847,8094.85,-18.28,,,,
10089,681984,67,666,0.05227826675400138,2660,-0.0012282971292734146,0.40377140045166016,0.08638080000000001,0.00021595200000000002,-0.005185095680644736,0.0032073944,0.145263671875,-1.4563061445951462,8201.74,-18.22,,,,
10099,683008,67,667,0.0673645893111825,2664,0.005964264273643494,0.4584121108055115,0.08636032,0.00021590080000000002,-0.005152719822945073,0.0016646888,0.124267578125,-1.3631441593170166,8262.91,-18.2,,,,
10110,684032,67,668,0.04962967545725405,2668,0.002428244799375534,0.42845672369003296,0.08633984,0.00021584960000000001,-0.0035817758180201054,0.0026835424,0.1298828125,-1.358640767633915,8262.91,-18.2,,,,
