time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
447,1916,1961984,4384,7660,0.000151952,0.0607808,0.0019914978,0.010746059357188642,0.13623046875,-1.4242217540740967,0.9392275810241699,-0.006455745606217533,-0.020445477217435837,8134.6,17.27,,,,
447,1917,1963008,4385,7664,0.0001519008,0.06076032000000001,0.001455161,0.0156314970809035,0.12744140625,-1.4539484083652496,0.882982611656189,-0.005611582164419815,-0.016554612666368484,8146.41,17.25,,,,
447,1918,1964032,4386,7668,0.0001518496,0.06073984,0.0017707678,0.01708985841833055,0.10400390625,-1.4238052889704704,0.8964055776596069,-0.006302478956058621,-0.022311491891741753,8146.41,17.25,,,,
447,1919,1965056,4387,7672,0.0001517984,0.06071936,0.0019868696,0.019298549450468272,0.16552734375,-1.434740073978901,0.8846640586853027,-0.006317853229120374,-0.019252803176641464,8146.41,17.25,,,,
447,1920,1966080,4388,7676,0.0001517472,0.060698880000000004,0.0013966984,0.014663135341834277,0.145751953125,-1.4380574449896812,0.9260547757148743,-0.007222161744721234,-0.02058788575232029,8140.86,17.26,,,,
448,1921,1967104,4389,7680,0.000151696,0.0606784,0.0020823786,0.01629747514380142,0.134521484375,-1.3984003067016602,0.9464514255523682,-0.006234691594727337,-0.016827292740345,8128.56,17.26,,,,
448,1922,1968128,4390,7684,0.0001516448,0.060657920000000004,0.0017992654,0.023078616126440465,0.10986328125,-1.4266584888100624,0.909735381603241,-0.0040081366314552724,-0.011251725256443024,8128.56,17.26,,,,
448,1923,1969152,4391,7688,0.0001515936,0.06063744,0.0024856837,0.02126744925044477,0.173095703125,-1.4298829957842827,0.9147454500198364,-0.006833582534454763,-0.01817382127046585,8128.56,17.26,,,,
448,1924,1970176,4392,7692,0.0001515424,0.06061696,0.0024695517,0.02131094946525991,0.132568359375,-1.3968872651457787,0.908304750919342,-0.007011648413026705,-0.022717809304594994,8128.56,17.26,,,,
448,1925,1971200,4393,7696,0.0001514912,0.06059648,0.0023389375,0.023035821970552206,0.1884765625,-1.438875786960125,0.8432527780532837,-0.005113832594361156,-0.014387957751750946,8125.54,17.28,,,,
448,1926,1972224,4394,7700,0.00015144000000000003,0.06057600000000001,0.0017987343,0.00641151430318132,0.171630859375,-1.4290045872330666,0.9729650616645813,-0.0068267337046563625,-0.02608361467719078,8125.54,17.28,,,,
448,1927,1973248,4395,7704,0.0001513888,0.06055552,0.0019337344,0.019411524524912238,0.13525390625,-1.4148731082677841,0.9073817133903503,-0.006476131267845631,-0.020344428718090057,8133.82,17.31,,,,
449,1928,1974272,4396,7708,0.00015133760000000002,0.06053504000000001,0.002180454,0.014444770175032318,0.176025390625,-1.4467362836003304,0.9264682531356812,-0.007380709721473977,-0.02071404457092285,8117.44,17.36,,,,
,,1975000,,7712,0.0001512864,0.060514559999999995,0.0016522958,0.028426485951058567,0.140625,-1.3775410875678062,0.9115715622901917,-0.005681508861016482,-0.014366751536726952,,,7261.8,-68.01999980000001,19.6,7261.8
445,1929,1975296,4429,,,,,,,,,,,8117.44,17.36,,,,
446,1930,1976320,4430,7716,0.0001512352,0.060494080000000006,0.0021927122,0.023202906944788992,0.20361328125,-1.3912622034549713,0.9335669875144958,-0.007781951251672581,-0.02034502848982811,8117.44,17.36,,,,
446,1931,1977344,4431,7720,0.00015118399999999998,0.060473599999999995,0.0017323438,0.0327098366105929,0.196044921875,-1.3851304948329926,0.8927438855171204,-0.007035892573185265,-0.010651090182363987,8125.12,17.47,,,,
446,1932,1978368,4432,7724,0.0001511328,0.060453120000000006,0.0016725675,0.017617040604818612,0.107666015625,-1.418153077363968,0.9468222856521606,-0.004178397415671498,-0.019557416439056396,8042.55,17.66,,,,
446,1933,1979392,4433,7728,0.00015108159999999997,0.060432639999999996,0.0015525619,0.03277531324420124,0.13427734375,-1.4050536155700684,0.847211480140686,-0.0052559589385055006,-0.013369987718760967,8042.55,17.66,,,,
446,1934,1980416,4434,7732,0.00015103040000000002,0.060412160000000006,0.0016535178,0.03694376186467707,0.12109375,-1.406817376613617,0.8777901530265808,-0.006205829849932343,-0.01395389437675476,8042.55,17.66,,,,
446,1935,1981440,4435,7736,0.0001509792,0.060391679999999996,0.001953851,0.025939365732483566,0.13671875,-1.3753769025206566,0.9195924997329712,-0.005699770234059542,-0.01483355276286602,8042.55,17.66,,,,
446,1936,1982464,4436,7740,0.00015092800000000002,0.06037120000000001,0.0023175925,0.0334981728810817,0.203857421875,-1.421112284064293,0.8455589413642883,-0.005025310325436294,-0.011203201487660408,8042.55,17.66,,,,
446,1937,1983488,4437,7744,0.0001508768,0.060350720000000004,0.001629931,0.021007107861805707,0.1845703125,-1.4458286464214325,0.9227440357208252,-0.007015536597464234,-0.01781810075044632,8042.55,17.66,,,,
447,1938,1984512,4438,7748,0.0001508256,0.06033024000000001,0.0024728586,0.020647243363782763,0.142822265625,-1.4196802899241447,0.9322428703308105,-0.00677340711990837,-0.01957174763083458,8042.55,17.66,,,,
447,1939,1985536,4439,7752,0.0001507744,0.060309760000000004,0.0013676104,0.033177893492393196,0.0986328125,-1.4197899252176285,0.9157960414886475,-0.004607288399711251,-0.01168749388307333,8042.55,17.66,,,,
