time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward
4503552,437,10295,4398,4.361401e-05,-0.012423807755112648,0.9434493780136108,0.009480298176640645,-0.0011802732478827238,0.159912109375,-1.522468738257885,2.4873599999999995e-05,17588,0.009949439999999999,7598.47,19.14,,,,
4504576,437,10296,4399,7.031002e-05,-0.01509514357894659,0.9598607420921326,0.008579956949688494,-0.001352280960418284,0.18359375,-1.5458887964487076,2.4822399999999995e-05,17592,0.009928959999999999,7598.75,19.13,,,,
4505600,437,10297,4400,5.6546356e-05,-0.0008790493011474609,0.8267481923103333,0.03703211690299213,-0.001369416859233752,0.15380859375,-1.5349190384149551,2.4771199999999994e-05,17596,0.009908479999999997,7598.75,19.13,,,,
4506624,437,10298,4401,9.208359e-05,-0.010006808675825596,0.8871053457260132,0.018334252759814262,-0.0011207445641048253,0.138671875,-1.5090659633278847,2.4719999999999994e-05,17600,0.009887999999999997,7597.5,19.14,,,,
4507648,437,10299,4402,5.503511e-05,-0.01256450917571783,0.9588648080825806,0.011227497656363994,-0.0013319338904693723,0.124755859375,-1.527242735028267,2.466879999999999e-05,17604,0.009867519999999998,7597.5,19.14,,,,
4508672,437,10300,4403,3.5229372e-05,-0.01033319067209959,0.8497450351715088,0.023886470939032733,-0.0009767084557097405,0.1064453125,-1.527106262743473,2.461759999999999e-05,17608,0.009847039999999996,7596.1,19.15,,,,
4509696,437,10301,4404,4.864519e-05,-0.015301397070288658,0.9685651659965515,0.0045944106532260776,-0.0011471209581941366,0.138671875,-1.5084731951355934,2.456639999999999e-05,17612,0.009826559999999996,7596.1,19.15,,,,
4510720,437,10302,4405,5.0515577e-05,-0.01563974842429161,0.9483569860458374,0.006809717364376411,-0.001232041569892317,0.1396484375,-1.5388063341379166,2.451519999999999e-05,17616,0.009806079999999995,7579.52,19.16,,,,
4511744,437,10303,4406,5.2563613e-05,-0.012875226326286793,0.9525182247161865,0.007426523690810427,-0.00113309285370633,0.17333984375,-1.5021875351667404,2.4464000000000015e-05,17620,0.009785600000000005,7579.52,19.16,,,,
4512768,437,10304,4407,6.341492e-05,-0.012449165806174278,0.9149068593978882,0.009380296454764903,-0.0010587444994598627,0.1845703125,-1.510930597782135,2.441280000000001e-05,17624,0.009765120000000006,7579.52,19.16,,,,
4513792,437,10305,4408,5.1203766e-05,-0.016352606937289238,0.9603707790374756,0.003739250634680502,-0.0012225385871715844,0.18994140625,-1.546573393046856,2.436160000000001e-05,17628,0.009744640000000006,7579.52,19.16,,,,
4514816,438,10306,4409,4.8926275e-05,-0.016163427382707596,0.9710534811019897,0.0025687682500574738,-0.0012760769459418952,0.161376953125,-1.5251328647136688,2.431040000000001e-05,17632,0.009724160000000004,7573.31,19.14,,,,
4515840,438,10307,4410,5.4846925e-05,-0.013993390835821629,0.9238618016242981,0.008494524285197258,-0.0011626661289483309,0.14306640625,-1.507534459233284,2.425920000000001e-05,17636,0.009703680000000004,7573.31,19.14,,,,
4516864,438,10308,4411,5.0965406e-05,-0.0167593564838171,0.9702292084693909,0.0028968526457902044,-0.0012710629380308092,0.16455078125,-1.5482581332325935,2.420800000000001e-05,17640,0.009683200000000003,7573.31,19.14,,,,
4517888,438,10309,4412,7.0231035e-05,-0.01644943840801716,0.9660067558288574,0.0027235946035943925,-0.0013153962790966034,0.186767578125,-1.524288646876812,2.4156800000000006e-05,17644,0.009662720000000003,7555.64,19.21,,,,
4518912,438,10310,4413,5.7178317e-05,-0.008387837558984756,0.8892674446105957,0.017832010722486302,-0.0010663968278095126,0.112548828125,-1.5374143794178963,2.4105600000000005e-05,17648,0.009642240000000003,7555.64,19.21,,,,
4519936,438,10311,4414,4.860334e-05,-0.01585538126528263,0.9451900720596313,0.007301884877961129,-0.0013076021568849683,0.13330078125,-1.534960299730301,2.4054400000000005e-05,17652,0.009621760000000002,7575.06,19.23,,,,
4520960,438,10312,4415,6.258703e-05,-0.009061922319233418,0.907291054725647,0.01616610080236569,-0.00099581090034917,0.134521484375,-1.536779336631298,2.4003200000000004e-05,17656,0.009601280000000002,7575.06,19.23,,,,
4521984,438,10313,4416,4.4337416e-05,-0.008679107762873173,0.9183181524276733,0.015472685161512345,-0.0010934241581708193,0.113525390625,-1.529709443449974,2.3952e-05,17660,0.0095808,7564.65,19.21,,,,
4523008,438,10314,4417,5.0066912e-05,-0.012117353267967701,0.9499548673629761,0.011180945963133126,-0.0011985577875748277,0.14306640625,-1.5300107076764107,2.39008e-05,17664,0.00956032,7564.65,19.21,,,,
4524032,438,10315,4418,4.847342e-05,-0.006073933094739914,0.8471959829330444,0.02240409597288817,-0.001217721262946725,0.16552734375,-1.4984762072563171,2.38496e-05,17668,0.00953984,7547.42,19.22,,,,
4525000,,,,4.4008833e-05,-0.01421075128018856,0.9503873586654663,0.0070962365716695786,-0.001182534557301551,0.13232421875,-1.5479746460914612,2.37984e-05,17672,0.00951936,,,7609.2,20.6,7609.2,-2267.016
4525056,437,10348,4419,,,,,,,,,,,7547.42,19.22,,,,
4526080,437,10349,4420,3.5604055e-05,-0.016384219750761986,0.9601905345916748,0.003642528419732116,-0.001074168219929561,0.18017578125,-1.5163604393601418,2.3747199999999995e-05,17676,0.00949888,7547.42,19.22,,,,
4527104,437,10350,4421,5.2676536e-05,-0.01611495018005371,0.9614635109901428,0.0031428094662260264,-0.0011961631826125085,0.177734375,-1.504226803779602,2.3695999999999995e-05,17680,0.009478399999999998,7547.42,19.22,,,,
4528128,437,10351,4422,4.0949613e-05,-0.01666734740138054,0.9660485982894897,0.002679819139302708,-0.0011639931180980057,0.193603515625,-1.5243830904364586,2.3644799999999994e-05,17684,0.009457919999999998,7547.42,19.22,,,,
4529152,437,10352,4423,6.109633e-05,-0.01662432588636875,0.9551687836647034,0.0036188364028930664,-0.001389242592267692,0.17138671875,-1.5414927080273628,2.3593599999999994e-05,17688,0.009437439999999998,7547.42,19.22,,,,
4530176,437,10353,4424,4.428014e-05,-0.016847573220729828,0.958389401435852,0.003443778390646912,-0.001090318604838103,0.135498046875,-1.5215807184576988,2.354239999999999e-05,17692,0.009416959999999997,7558.91,19.24,,,,
4531200,437,10354,4425,5.614769e-05,-0.0164016205817461,0.9653930068016052,0.004417730306158774,-0.0010142857208848,0.12744140625,-1.5360926911234856,2.349119999999999e-05,17696,0.009396479999999997,7558.37,19.24,,,,
4532224,437,10355,4426,3.8300466e-05,-0.015321798622608185,0.9721495509147644,0.004818570028874092,-0.0009946133650373667,0.13134765625,-1.5259369611740112,2.343999999999999e-05,17700,0.009375999999999995,7538.46,19.25,,,,
4533248,437,10356,4427,7.102784e-05,-0.011993943713605404,0.9221882224082947,0.012582083174493164,-0.001012167427688837,0.162109375,-1.514938086271286,2.338879999999999e-05,17704,0.009355519999999996,7547.22,19.23,,,,
4534272,437,10357,4428,5.466718e-05,-0.007758021354675293,0.9191852807998657,0.01747779396828264,-0.0011452684120740741,0.137939453125,-1.5357100144028664,2.3337599999999988e-05,17708,0.009335039999999994,7544.2,19.23,,,,
4535296,437,10358,4429,4.3563487e-05,-0.013055859133601189,0.94874107837677,0.009058179712155834,-0.0012157739838585258,0.142333984375,-1.5115357413887978,2.3286400000000015e-05,17712,0.009314560000000005,7536.2,19.24,,,,
4536320,437,10359,4430,5.164428e-05,-0.01397383026778698,0.9492663741111755,0.01098116472712718,-0.0013544004032155499,0.153564453125,-1.5398776307702065,2.323520000000001e-05,17716,0.009294080000000005,7536.2,19.24,,,,
4537344,437,10360,4431,5.28784e-05,-0.010217693634331226,0.9303702116012573,0.018073340295813978,-0.0011358894989825785,0.16650390625,-1.5158859491348267,2.318400000000001e-05,17720,0.009273600000000005,7536.2,19.24,,,,
4538368,438,10361,4432,4.172366e-05,-0.014220689423382282,0.9385607838630676,0.0056830546236597,-0.0011091606866102666,0.155517578125,-1.5237322896718979,2.313280000000001e-05,17724,0.009253120000000004,7536.2,19.24,,,,
4539392,438,10362,4433,2.9723742e-05,-0.017412355169653893,0.9747291207313538,0.0023535693107987754,-0.0012140977778472006,0.15185546875,-1.5273916199803352,2.308160000000001e-05,17728,0.009232640000000004,7534.62,19.25,,,,
4540416,438,10363,4434,5.0905393e-05,-0.005926929414272308,0.9110299348831177,0.015265468216966838,-0.0006834571540821344,0.1201171875,-1.5153962299227715,2.3030400000000006e-05,17732,0.009212160000000002,7534.62,19.25,,,,
4541440,438,10364,4435,4.7383015e-05,-0.013392457738518715,0.9537091851234436,0.006436906362068839,-0.0010499887866899371,0.17333984375,-1.482510432600975,2.2979200000000005e-05,17736,0.009191680000000002,7534.62,19.25,,,,
4542464,438,10365,4436,4.014501e-05,-0.016011765226721764,0.9677480459213257,0.003949349935282953,-0.0014104241272434592,0.190185546875,-1.5420146137475967,2.2928000000000005e-05,17740,0.009171200000000003,7534.62,19.25,,,,
4543488,438,10366,4437,3.702735e-05,-0.013276981189846992,0.9548510313034058,0.005959941263427027,-0.001045298733515665,0.119140625,-1.507677860558033,2.2876800000000004e-05,17744,0.009150720000000001,7534.62,19.25,,,,
4544512,438,10367,4438,4.781026e-05,-0.01379382237792015,0.9512571096420288,0.004007971627288498,-0.0009276180062443018,0.16796875,-1.5102145597338676,2.28256e-05,17748,0.009130240000000001,7534.62,19.25,,,,
4545536,438,10368,4439,4.6891568e-05,-0.01701267436146736,0.983791172504425,0.001753693308273796,-0.0012322354596108198,0.154541015625,-1.511882022023201,2.27744e-05,17752,0.00910976,7487.16,19.33,,,,
4546560,438,10369,4440,4.6262285e-05,-0.012034277431666851,0.9082968831062317,0.013633325695991516,-0.0011711182305589318,0.15966796875,-1.5315911546349525,2.27232e-05,17756,0.00908928,7487.16,19.33,,,,
4547584,438,10370,4441,5.488837e-05,-0.015695909038186073,0.9637972712516785,0.0038700163131579757,-0.0013034501753281802,0.192626953125,-1.5028021335601807,2.2672e-05,17760,0.0090688,7458.29,19.27,,,,
4548608,438,10371,4442,4.171545e-05,-0.012194372713565826,0.950249433517456,0.011393441003747284,-0.0010784632759168744,0.15234375,-1.532117985188961,2.2620799999999995e-05,17764,0.009048319999999999,7458.29,19.27,,,,
4549632,438,10372,4443,5.732634e-05,-0.01073870062828064,0.9301384091377258,0.014034310996066779,-0.0009295108611695468,0.176025390625,-1.5119047462940216,2.2569599999999995e-05,17768,0.009027839999999999,7458.29,19.27,,,,
4550000,,,,4.578574e-05,-0.015712279826402664,0.9546595215797424,0.004554997431114316,-0.0010844546486623585,0.170654296875,-1.5304164215922356,2.2518399999999994e-05,17772,0.009007359999999997,,,7264.6,20.8,7264.6,-1855.5439999999999
4550656,437,10403,4444,,,,,,,,,,,7458.29,19.27,,,,
4551680,437,10404,4445,2.882618e-05,-0.015578028745949268,0.9449219107627869,0.0047743411269038916,-0.0011339900083839893,0.112060546875,-1.547168307006359,2.2467199999999994e-05,17776,0.008986879999999997,7458.29,19.27,,,,
4552704,437,10405,4446,5.2678864e-05,-0.015629751607775688,0.946790337562561,0.0036004892899654806,-0.0010371903190389276,0.1943359375,-1.5240276604890823,2.2415999999999993e-05,17780,0.008966399999999998,7458.29,19.27,,,,
4553728,437,10406,4447,3.776216e-05,-0.01582970656454563,0.9756384491920471,0.002341628132853657,-0.0009641508222557604,0.124267578125,-1.54855577647686,2.236479999999999e-05,17784,0.008945919999999996,7444.06,19.28,,,,
4554752,437,10407,4448,3.7630438e-05,-0.01094098947942257,0.8891578316688538,0.011241871281526983,-0.0010194941714871675,0.14794921875,-1.5526183918118477,2.231359999999999e-05,17788,0.008925439999999996,7444.06,19.28,,,,
4555776,437,10408,4449,3.770244e-05,-0.01382701937109232,0.9207042455673218,0.006278780550928786,-0.0010558017529547215,0.14404296875,-1.5236360132694244,2.226239999999999e-05,17792,0.008904959999999995,7444.06,19.28,,,,
4556800,437,10409,4450,5.462009e-05,-0.016832366585731506,0.972446084022522,0.002474695531418547,-0.0013271914212964475,0.20556640625,-1.5635448023676872,2.2211199999999988e-05,17796,0.008884479999999995,7444.06,19.28,,,,
4557824,437,10410,4451,3.7231133e-05,-0.015694813802838326,0.9542344808578491,0.00388364314858336,-0.0011386056867195293,0.18359375,-1.5513235554099083,2.2160000000000015e-05,17800,0.008864000000000006,7428.73,19.28,,,,
4558848,437,10411,4452,3.583869e-05,-0.015001226216554642,0.9655426740646362,0.0041110984166152775,-0.0009452559752389789,0.13671875,-1.5276377871632576,2.210880000000001e-05,17804,0.008843520000000006,7428.73,19.28,,,,
